Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	nrc:51861-2359-csp
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:40:38Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		Controlled	Unique_Item_Investigations	3	3	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		Controlled	Unique_Item_Requests	3	3	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		Controlled	Total_Item_Investigations	5	5	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		Controlled	Total_Item_Requests	5	5	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		OA_Gold	Unique_Item_Investigations	4	4	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		OA_Gold	Unique_Item_Requests	4	4	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		OA_Gold	Total_Item_Investigations	4	4	0
Applied Physiology, Nutrition, and Metabolism	NRC Research Press		Canadian Science Publishing	10.1139/apnm	nrc:apnm	1715-5312	1715-5320		OA_Gold	Total_Item_Requests	4	4	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		Controlled	Unique_Item_Investigations	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		Controlled	Unique_Item_Requests	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		Controlled	Total_Item_Investigations	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		Controlled	Total_Item_Requests	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		OA_Gold	Unique_Item_Investigations	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		OA_Gold	Unique_Item_Requests	1	1	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		OA_Gold	Total_Item_Investigations	2	2	0
Biochemistry and Cell Biology	NRC Research Press		Canadian Science Publishing	10.1139/bcb	nrc:bcb	0829-8211	1208-6002		OA_Gold	Total_Item_Requests	2	2	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		Controlled	Unique_Item_Investigations	8	8	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		Controlled	Unique_Item_Requests	8	8	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		Controlled	Total_Item_Investigations	8	8	0
Botany	NRC Research Press		Canadian Science Publishing	10.1139/cjb	nrc:cjb	1916-2790	1916-2804		Controlled	Total_Item_Requests	8	8	0
Canadian Geotechnical Journal	NRC Research Press		Canadian Science Publishing	10.1139/cgj	nrc:cgj	0008-3674	1208-6010		Controlled	Unique_Item_Investigations	5	5	0
