Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Captives of Conquest: Slavery in the Early Modern Spanish Caribbean.	Duke University Press		Duke University Press	10.1215/00141801-10443501	Silverchair:381150					Unique_Item_Investigations	1	1	0
Colonial Diffractions in Illiberal Times: Forecasts on the Future	Duke University Press		Duke University Press	10.1215/08992363-8742184	Silverchair:173521					Unique_Item_Investigations	2	2	0
Disjuncture and Difference in the Global Cultural Economy	Duke University Press		Duke University Press	10.1215/08992363-2-2-1	Silverchair:32014					Unique_Item_Investigations	1	1	0
Gender Dysphoria, Body Dysmorphia, and the Problematic of Body Modification	Penn State University Press		Duke University Press	10.5325/jspecphil.29.3.0424	Silverchair:247427					Unique_Item_Investigations	1	1	0
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press	10.1215/03616878-9417428	Silverchair:174075					Unique_Item_Requests	1	1	0
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press	10.1215/03616878-9417428	Silverchair:174075					Unique_Item_Investigations	1	1	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press	10.1215/00141801-10443447	Silverchair:381156					Unique_Item_Requests	3	3	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press	10.1215/00141801-10443447	Silverchair:381156					Unique_Item_Investigations	3	3	0
Manteo’s World: Native American Life in Carolina’s Sound Country before and after the Lost Colony	Duke University Press		Duke University Press	10.1215/00141801-10443555	Silverchair:381147					Unique_Item_Investigations	1	1	0
Microhistory and the Historical Imagination: New Frontiers	Duke University Press		Duke University Press	10.1215/10829636-3716554	Silverchair:1283					Unique_Item_Investigations	1	1	0
Microhistory Today: A Roundtable Discussion	Duke University Press		Duke University Press	10.1215/10829636-3716566	Silverchair:1286					Unique_Item_Investigations	1	1	0
Physician Advocacy for Public Health	Duke University Press		Duke University Press	10.1215/03616878-7206707	Silverchair:135777					Unique_Item_Investigations	1	1	0
Sexual Orphanings	Duke University Press		Duke University Press	10.1215/10642684-3603114	Silverchair:69199					Unique_Item_Investigations	1	1	0
Solidarity Not Charity<subtitle>Mutual Aid for Mobilization and Survival</subtitle>	Duke University Press		Duke University Press	10.1215/01642472-7971139	Silverchair:160175					Unique_Item_Investigations	1	1	0
The Macrohistory of Microhistory	Duke University Press		Duke University Press	10.1215/10829636-3716578	Silverchair:1290					Unique_Item_Investigations	1	1	0
The Queer Art of Failure	Duke University Press		Duke University Press	10.1215/9780822394358	Silverchair:1581	978-0-8223-5028-6				Unique_Item_Investigations	1	1	0
Visiting the Six Worlds: Shamanistic Journeys in Canadian Mi’kmaq Cosmology	University of Illinois Press		Duke University Press	10.2307/4137640	Silverchair:229515					Unique_Item_Investigations	1	1	0
“They Will Know in the End That We Are Men”: Gunpowder and Gendered Discourse in Creek-British Diplomacy, 1763–1776	Duke University Press		Duke University Press	10.1215/00141801-10443393	Silverchair:381154					Unique_Item_Investigations	1	1	0
“We Are the Ones That Make the Treaty”: Michi Saagiig Lands and Islands in Southeastern Ontario	Duke University Press		Duke University Press	10.1215/00141801-10443375	Silverchair:381158					Unique_Item_Investigations	4	4	0
“We Are the Ones That Make the Treaty”: Michi Saagiig Lands and Islands in Southeastern Ontario	Duke University Press		Duke University Press	10.1215/00141801-10443375	Silverchair:381158					Unique_Item_Requests	4	4	0
