Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press		2022-02-01		10.1215/03616878-9417428	Silverchair:174075				Journal of Health Politics, Policy and Law				Silverchair:1000002	0361-6878	1527-1927		Controlled	Unique_Item_Requests	1	1	0
Health Insurance Loss during COVID-19 May Increase Support for Universal Health Coverage	Duke University Press		Duke University Press		2022-02-01		10.1215/03616878-9417428	Silverchair:174075				Journal of Health Politics, Policy and Law				Silverchair:1000002	0361-6878	1527-1927		Controlled	Total_Item_Requests	1	1	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press		2023-07-01		10.1215/00141801-10443447	Silverchair:381156				Ethnohistory				Silverchair:1000016	0014-1801	1527-5477		Controlled	Total_Item_Requests	4	4	0
Malintzin’s Origins: Slave? Or Cultural Confusion?	Duke University Press		Duke University Press		2023-07-01		10.1215/00141801-10443447	Silverchair:381156				Ethnohistory				Silverchair:1000016	0014-1801	1527-5477		Controlled	Unique_Item_Requests	3	3	0
“We Are the Ones That Make the Treaty”: Michi Saagiig Lands and Islands in Southeastern Ontario	Duke University Press		Duke University Press		2023-07-01		10.1215/00141801-10443375	Silverchair:381158				Ethnohistory				Silverchair:1000016	0014-1801	1527-5477		Controlled	Unique_Item_Requests	4	4	0
“We Are the Ones That Make the Treaty”: Michi Saagiig Lands and Islands in Southeastern Ontario	Duke University Press		Duke University Press		2023-07-01		10.1215/00141801-10443375	Silverchair:381158				Ethnohistory				Silverchair:1000016	0014-1801	1527-5477		Controlled	Total_Item_Requests	9	9	0
