Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	UNIV OF PRINCE EDWARD ISLAND
Institution_ID	Silverchair:530
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ethnohistory	Duke University Press		Duke University Press		Silverchair:1000016	0014-1801	1527-5477		No_License	4	4	0
GLQ: A Journal of Lesbian and Gay Studies	Duke University Press		Duke University Press		Silverchair:1000019	1064-2684	1527-9375		No_License	1	1	0
Journal of Medieval and Early Modern Studies	Duke University Press		Duke University Press		Silverchair:1000022	1082-9636	1527-8263		No_License	2	2	0
Public Culture	Duke University Press		Duke University Press		Silverchair:1000034	0899-2363	1527-8018		No_License	3	3	0
Social Text	Duke University Press		Duke University Press		Silverchair:1000001	0164-2472	1527-1951		No_License	2	2	0
