Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:04Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ABC-CLIO	Undefined		EBSCOhost	EBSCOhost:conclio	Searches_Automated	78	78	0
ABC-CLIO eBooks	ABC-CLIO		EBSCOhost	EBSCOhost:edsclb	Searches_Automated	15715	15715	0
ABC-CLIO Social Studies Databases, Academic Edition	ABC-CLIO		EBSCOhost	EBSCOhost:edsaca	Searches_Automated	15683	15683	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Searches_Automated	22893	22893	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Searches_Regular	890	890	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Total_Item_Investigations	1850	1850	0
Academic Search Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:a9h	Total_Item_Requests	1204	1204	0
Academic Search Index	EBSCO Publishing		EBSCOhost	EBSCOhost:asx	Searches_Automated	15957	15957	0
Academic Search Index	EBSCO Publishing		EBSCOhost	EBSCOhost:asx	Total_Item_Investigations	30	30	0
AccessEngineering	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsace	Searches_Automated	15824	15824	0
Accessible Archives	Accessible Archives		EBSCOhost	EBSCOhost:edsaan	Searches_Automated	15756	15756	0
Accessible Archives	Accessible Archives		EBSCOhost	EBSCOhost:edsaan	Total_Item_Investigations	3	3	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Searches_Automated	15751	15751	0
AccessScience	McGraw-Hill Companies, Inc.		EBSCOhost	EBSCOhost:edsasc	Total_Item_Investigations	1	1	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Searches_Automated	15758	15758	0
ACLS Humanities Ebook	American Council of Learned Societies		EBSCOhost	EBSCOhost:edsacl	Total_Item_Investigations	4	4	0
ACM Full-Text Collection	Association for Computing Machinery		EBSCOhost	EBSCOhost:edscma	Searches_Automated	15725	15725	0
