Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:30Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Total_Item_Requests	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Unique_Title_Requests	1	1	0
50 Activities for Self-Development	Human Resource Development Press		EBSCOhost		EBSCOhost:BookID:320221	978-0-87425-173-9				2002	Total_Item_Requests	2	2	0
50 Activities for Self-Development	Human Resource Development Press		EBSCOhost		EBSCOhost:BookID:320221	978-0-87425-173-9				2002	Unique_Title_Requests	1	1	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Total_Item_Requests	3	3	0
A Breath of Fresh Eyre: Intertextual and Intermedial Reworkings of Jane Eyre	Brill		EBSCOhost		EBSCOhost:BookID:211878	978-90-420-2212-6				2007	Unique_Title_Requests	3	3	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Total_Item_Requests	1	1	0
A Brief History of China: Dynasty, Revolution and Transformation: From the Middle Kingdom to the People's Republic	Tuttle Publishing		EBSCOhost		EBSCOhost:BookID:2108099	978-0-8048-5005-6				2019	Unique_Title_Requests	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Total_Item_Requests	1	1	0
A Companion to Enlightenment Historiography	Brill		EBSCOhost		EBSCOhost:BookID:603875	978-90-04-25185-4				2013	Unique_Title_Requests	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Total_Item_Requests	1	1	0
A Decade of Hubble Space Telescope Science	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:120355	978-0-521-82459-0				2003	Unique_Title_Requests	1	1	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Total_Item_Requests	3	3	0
A first course in fourier analysis	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:220402	978-0-521-88340-5				2007	Unique_Title_Requests	3	3	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Total_Item_Requests	2	2	0
A Guide to Oral Communication in Veterinary Medicine	5M Publishing Ltd		EBSCOhost		EBSCOhost:BookID:2520132	978-1-78918-095-4				2020	Unique_Title_Requests	2	2	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Total_Item_Requests	1	1	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Unique_Title_Requests	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Total_Item_Requests	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Unique_Title_Requests	1	1	0
