Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Investigations; Unique_Item_Investigations; Unique_Title_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:53Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Total_Item_Investigations	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Total_Item_Requests	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Unique_Item_Investigations	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Unique_Item_Requests	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Unique_Title_Investigations	1	1	0
(Participatory) Action Research: Principles, Approaches and Applications	Nova Science Publishers Incorporated		EBSCOhost		EBSCOhost:BookID:1696971	978-1-5361-3041-6				2018	Controlled	Unique_Title_Requests	1	1	0
100 Questions (and Answers) About Qualitative Research	SAGE Publications		EBSCOhost		EBSCOhost:BookID:3361685	978-1-4833-4564-2				2015	Controlled	Total_Item_Investigations	1	1	0
100 Questions (and Answers) About Qualitative Research	SAGE Publications		EBSCOhost		EBSCOhost:BookID:3361685	978-1-4833-4564-2				2015	Controlled	Unique_Item_Investigations	1	1	0
100 Questions (and Answers) About Qualitative Research	SAGE Publications		EBSCOhost		EBSCOhost:BookID:3361685	978-1-4833-4564-2				2015	Controlled	Unique_Title_Investigations	1	1	0
2023 4th IEEE Global Conference for Advancement in Technology (GCAT), Advancement in Technology (GCAT), 2023 4th IEEE Global Conference for			EBSCOhost							2023	Controlled	Total_Item_Investigations	1	1	0
2023 4th IEEE Global Conference for Advancement in Technology (GCAT), Advancement in Technology (GCAT), 2023 4th IEEE Global Conference for			EBSCOhost							2023	Controlled	Unique_Item_Investigations	1	1	0
