Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Investigations; Unique_Item_Investigations; Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:43:30Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
19th Century Music	University of California Press		EBSCOhost		EBSCOhost:KBID:234	0148-2076	1533-8606		Controlled	Total_Item_Investigations	2	2	0
19th Century Music	University of California Press		EBSCOhost		EBSCOhost:KBID:234	0148-2076	1533-8606		Controlled	Unique_Item_Investigations	2	2	0
20th Century History Review	Philip Allan Publishers Limited		EBSCOhost		EBSCOhost:KBID:358695	1746-6512			Controlled	Total_Item_Investigations	6	6	0
20th Century History Review	Philip Allan Publishers Limited		EBSCOhost		EBSCOhost:KBID:358695	1746-6512			Controlled	Unique_Item_Investigations	4	4	0
AACN Advanced Critical Care	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:102435	1559-7768	1559-7776		Controlled	Total_Item_Investigations	1	1	0
AACN Advanced Critical Care	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:102435	1559-7768	1559-7776		Controlled	Unique_Item_Investigations	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Controlled	Total_Item_Investigations	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Controlled	Total_Item_Requests	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Controlled	Unique_Item_Investigations	1	1	0
AACN Bold Voices	American Association of Critical-Care Nurses		EBSCOhost		EBSCOhost:KBID:568370	1948-7088	1948-7096		Controlled	Unique_Item_Requests	1	1	0
