Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:41:54+00:00
Created_By	LibLynx LLC for Emerald Insight

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Emerald Insight	Total_Item_Investigations	83	83	0
Emerald Insight	Unique_Item_Investigations	61	61	0
Emerald Insight	Total_Item_Requests	16	16	0
Emerald Insight	Unique_Item_Requests	10	10	0
Emerald Insight	Total_Item_Investigations	7	7	0
Emerald Insight	Unique_Item_Investigations	6	6	0
Emerald Insight	Unique_Title_Investigations	6	6	0
Emerald Insight	Total_Item_Requests	1	1	0
Emerald Insight	Unique_Item_Requests	1	1	0
Emerald Insight	Unique_Title_Requests	1	1	0
Emerald Insight	Searches_Platform	1	1	0
