Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:41:57+00:00
Created_By	LibLynx LLC for Emerald Insight

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Emerald Insight	Searches_Platform	1	1	0
Emerald Insight	Total_Item_Requests	17	17	0
Emerald Insight	Unique_Item_Requests	11	11	0
Emerald Insight	Unique_Title_Requests	1	1	0
