Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:12+00:00
Created_By	LibLynx LLC for Emerald Insight

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				2020	Total_Item_Requests	1	1	0
Artificial Intelligence and Global Security	Emerald Insight		Emerald Insight	10.1108/9781789738117		978-1-78973-811-7				2020	Unique_Title_Requests	1	1	0
