Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of Prince Edward Island Robertson Library
Institution_ID	infobase:104142
Metric_Types	No_License; Limit_Exceeded
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:43:03+00:00
Created_By	LibLynx LLC for Infobase

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Encyclopedia of World Religions: Encyclopedia of Catholicism	Facts On File		Credo Reference		infobase:376_FT_Qm9va1R5cGU6NTk5OA==	978-1-4381-4173-2				0001	No_License	1	0	1
