Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:23Z
Created_By	Gale

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale	Searches_Platform	833	453	380
Gale	Total_Item_Investigations	120	89	31
Gale	Total_Item_Requests	119	88	31
Gale	Unique_Item_Investigations	98	72	26
Gale	Unique_Item_Requests	97	71	26
Gale	Unique_Title_Investigations	83	64	19
Gale	Unique_Title_Requests	82	63	19
Gale	Total_Item_Investigations	752	380	372
Gale	Total_Item_Requests	746	375	371
Gale	Unique_Item_Investigations	613	305	308
Gale	Unique_Item_Requests	610	303	307
Gale	Total_Item_Investigations	608	186	422
Gale	Total_Item_Requests	604	185	419
Gale	Unique_Item_Investigations	440	141	299
Gale	Unique_Item_Requests	436	140	296
Gale	Total_Item_Investigations	5	3	2
Gale	Total_Item_Requests	5	3	2
Gale	Unique_Item_Investigations	5	3	2
Gale	Unique_Item_Requests	5	3	2
Gale	Total_Item_Investigations	1	1	0
Gale	Total_Item_Requests	1	1	0
Gale	Unique_Item_Investigations	1	1	0
Gale	Unique_Item_Requests	1	1	0
