Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:45Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE	1746-6512			2007	Total_Item_Requests	5	4	1
20th Century History Review	Philip Allan Updates		Gale		gale:5DYE	1746-6512			2007	Unique_Item_Requests	3	2	1
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB	0970-2385			2015	Total_Item_Requests	2	2	0
Abhigyan	Foundation for Organisational Research & Education		Gale		gale:2LTB	0970-2385			2015	Unique_Item_Requests	1	1	0
Adolescence	Libra Publishers, Inc.		Gale		gale:2248	0001-8449			1997	Total_Item_Requests	2	0	2
Adolescence	Libra Publishers, Inc.		Gale		gale:2248	0001-8449			1997	Unique_Item_Requests	1	0	1
Advances in Environmental Biology	American-Eurasian Network for Scientific Information		Gale		gale:2UUO	1995-0756			2015	Total_Item_Requests	4	0	4
Advances in Environmental Biology	American-Eurasian Network for Scientific Information		Gale		gale:2UUO	1995-0756			2015	Unique_Item_Requests	2	0	2
African Journal of Development Studies	Sabinet Online		Gale		gale:64JL	2634-3630			2021	Total_Item_Requests	1	0	1
African Journal of Development Studies	Sabinet Online		Gale		gale:64JL	2634-3630			2021	Unique_Item_Requests	1	0	1
African Journal of Gender, Society and Development	Sabinet Online		Gale		gale:64JM	2634-3614			2021	Total_Item_Requests	1	0	1
African Journal of Gender, Society and Development	Sabinet Online		Gale		gale:64JM	2634-3614			2021	Unique_Item_Requests	1	0	1
Alces	Not Listed		Gale		gale:0LFH	0835-5851			2013	Total_Item_Requests	1	0	1
Alces	Not Listed		Gale		gale:0LFH	0835-5851			2013	Unique_Item_Requests	1	0	1
All About History	Future US, Inc.		Gale		gale:2WJ5	2052-5877			2022	Total_Item_Requests	1	0	1
All About History	Future US, Inc.		Gale		gale:2WJ5	2052-5877			2022	Unique_Item_Requests	1	0	1
America	America Press, Inc.		Gale		gale:1321	0002-7049			2019	Total_Item_Requests	1	1	0
America	America Press, Inc.		Gale		gale:1321	0002-7049			2019	Unique_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2000	Total_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2000	Unique_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2009	Total_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2009	Unique_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2019	Total_Item_Requests	2	2	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2019	Unique_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2020	Total_Item_Requests	1	1	0
American Music	University of Illinois Press		Gale		gale:2298	0734-4392			2020	Unique_Item_Requests	1	1	0
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493	0003-0112			2011	Total_Item_Requests	5	5	0
American Music Teacher	Music Teachers National Association, Inc.		Gale		gale:2493	0003-0112			2011	Unique_Item_Requests	5	5	0
American Nurse Today	Healthcom Media		Gale		gale:5DEO	1930-5583			2016	Total_Item_Requests	4	0	4
American Nurse Today	Healthcom Media		Gale		gale:5DEO	1930-5583			2016	Unique_Item_Requests	2	0	2
American Record Guide	Record Guide Productions		Gale		gale:1020	0003-0716			2023	Total_Item_Requests	1	0	1
American Record Guide	Record Guide Productions		Gale		gale:1020	0003-0716			2023	Unique_Item_Requests	1	0	1
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC	0741-7527			2002	Total_Item_Requests	1	1	0
Annali d'Italianistica	Annali d'Italianistica, Inc.		Gale		gale:2GPC	0741-7527			2002	Unique_Item_Requests	1	1	0
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL	2167-2113			2013	Total_Item_Requests	1	0	1
Annals of Psychotherapy and Integrative Health	KSA Media, LLC		Gale		gale:5KNL	2167-2113			2013	Unique_Item_Requests	1	0	1
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186	0003-5491			2023	Total_Item_Requests	10	10	0
Anthropological Quarterly	Institute for Ethnographic Research		Gale		gale:2186	0003-5491			2023	Unique_Item_Requests	5	5	0
ARC Poetry Magazine	Arc Poetry Society		Gale		gale:2NGC	1910-3239			2010	Total_Item_Requests	2	2	0
