Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:2320
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld	10.1017/S0016756823000614	Silverchair:628785					Unique_Item_Requests	1	1	0
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld	10.1017/S0016756823000614	Silverchair:628785					Unique_Item_Investigations	1	1	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld	10.2113/3.2.462	Silverchair:91642					Unique_Item_Requests	3	3	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld	10.2113/3.2.462	Silverchair:91642					Unique_Item_Investigations	3	3	0
