Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:2320
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld		2023-10-19		10.1017/S0016756823000614	Silverchair:628785				Geological Magazine				Silverchair:40	0016-7568	1469-5081		OA_Gold	Unique_Item_Requests	1	1	0
High primary productivity in an Ediacaran shallow marine basin influenced by strong seasonal to perennial upwelling	Cambridge University Press		GeoScienceWorld		2023-10-19		10.1017/S0016756823000614	Silverchair:628785				Geological Magazine				Silverchair:40	0016-7568	1469-5081		OA_Gold	Total_Item_Requests	1	1	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld		2004-05-01		10.2113/3.2.462	Silverchair:91642				Vadose Zone Journal				Silverchair:74	1539-1663			Controlled	Unique_Item_Requests	3	3	0
Particle Leaching and Particle-Facilitated Transport of Phosphorus at Field Scale	Soil Science Society of America		GeoScienceWorld		2004-05-01		10.2113/3.2.462	Silverchair:91642				Vadose Zone Journal				Silverchair:74	1539-1663			Controlled	Total_Item_Requests	4	4	0
