Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIV OF P E I
Institution_ID	slack:UNIV OF P E I
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-03-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:44:39Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Introduction to Multiple Personality Disorder	SLACK Incorporated		slack	10.3928/0048-5713-19840101-05						Unique_Item_Investigations	1	1	0
An Introduction to Multiple Personality Disorder	SLACK Incorporated		slack	10.3928/0048-5713-19840101-05						Total_Item_Investigations	2	2	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	10.3928/0048-5713-19840101-09						No_License	2	2	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	10.3928/0048-5713-19840101-09						Unique_Item_Investigations	1	1	0
Aspects of the Treatment of Multiple Personality Disorder	SLACK Incorporated		slack	10.3928/0048-5713-19840101-09						Total_Item_Investigations	1	1	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	10.3928/00220124-20190612-05						Unique_Item_Investigations	3	3	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	10.3928/00220124-20190612-05						Unique_Item_Requests	3	3	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	10.3928/00220124-20190612-05						Total_Item_Requests	4	4	0
Improving the Knowledge, Attitudes, and Behavioral Intentions of Perinatal Care Providers Toward Childbearing Individuals Identifying as LGBTQ: A Quasi-Experimental Study	SLACK Incorporated		slack	10.3928/00220124-20190612-05						Total_Item_Investigations	7	7	0
Journal Clubs: A Strategy to Teach Civility to Nursing Students	SLACK Incorporated		slack	10.3928/01484834-20120323-02						Unique_Item_Investigations	1	1	0
Journal Clubs: A Strategy to Teach Civility to Nursing Students	SLACK Incorporated		slack	10.3928/01484834-20120323-02						Unique_Item_Requests	1	1	0
