Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	COLLECTIONS@UPEI.CA
Institution_ID	HighWire:COLLECTIONS@UPEI.CA
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3040: Request could not be fulfilled in its entirety. Data that was available was returned. (Usage data has not been processed for all requested months.  Data is not yet available after 202401)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:44:34-08:00
Created_By	HighWire Press Inc.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
HighWire Press	Total_Item_Investigations	129	129	0
HighWire Press	Total_Item_Requests	98	98	0
HighWire Press	Unique_Item_Investigations	76	76	0
HighWire Press	Unique_Item_Requests	72	72	0
