Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	COLLECTIONS@UPEI.CA
Institution_ID	HighWire:COLLECTIONS@UPEI.CA
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Type=Controlled; Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Request could not be fulfilled in its entirety. Data that was available was returned. (Usage data has not been processed for all requested months.  Data is not yet available after 202401); 3030: Service did not find any data for the date range specified. (No data available for given constraints.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:44:46-08:00
Created_By	HighWire Press Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
