Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	COLLECTIONS@UPEI.CA
Institution_ID	HighWire:COLLECTIONS@UPEI.CA
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Request could not be fulfilled in its entirety. Data that was available was returned. (Usage data has not been processed for all requested months.  Data is not yet available after 202401)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:45:04-08:00
Created_By	HighWire Press Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
British Journal of Sports Medicine	BMJ Publishing Group Ltd		HighWire Press	10.1136/bjsports		0306-3674	1473-0480	http://bjsm.bmj.com	No_License	7	7	0
Gut	BMJ Publishing Group Ltd		HighWire Press	10.1136/gutjnl		0017-5749	1468-3288	http://gut.bmj.com	No_License	3	3	0
Journal of Medical Ethics	BMJ Publishing Group Ltd		HighWire Press	10.1136/medethics		0306-6800	1473-4257	http://jme.bmj.com	No_License	1	1	0
