Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ieee:4172671
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:45:36Z
Created_By	MPS Limited

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
IEEE Xplore	Total_Item_Requests	446	446	0
IEEE Xplore	Searches_Platform	37	37	0
IEEE Xplore	Unique_Title_Investigations	2	2	0
IEEE Xplore	Unique_Item_Investigations	451	451	0
IEEE Xplore	Total_Item_Investigations	2	2	0
IEEE Xplore	Unique_Item_Investigations	2	2	0
IEEE Xplore	Total_Item_Investigations	650	650	0
IEEE Xplore	Total_Item_Requests	169	169	0
IEEE Xplore	Unique_Item_Requests	236	236	0
IEEE Xplore	Unique_Item_Requests	121	121	0
IEEE Xplore	Total_Item_Investigations	249	249	0
IEEE Xplore	Unique_Item_Investigations	207	207	0
