Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ieee:4172671
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:45:42Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
1981 Ultrasonics Symposium	IEEE		IEEE Xplore	10.1109/ULTSYM.1981	ieee:10281					Unique_Item_Requests	1	1	0
1981 Ultrasonics Symposium	IEEE		IEEE Xplore	10.1109/ULTSYM.1981	ieee:10281					Total_Item_Requests	1	1	0
1981 Ultrasonics Symposium	IEEE		IEEE Xplore	10.1109/ULTSYM.1981	ieee:10281					Unique_Item_Investigations	2	2	0
1981 Ultrasonics Symposium	IEEE		IEEE Xplore	10.1109/ULTSYM.1981	ieee:10281					Total_Item_Investigations	3	3	0
1999 International Conference on Human Interfaces in Control Rooms, Cockpits and Command Centres	IET		IEEE Xplore		ieee:6382					Unique_Item_Requests	1	1	0
1999 International Conference on Human Interfaces in Control Rooms, Cockpits and Command Centres	IET		IEEE Xplore		ieee:6382					Total_Item_Requests	1	1	0
1999 International Conference on Human Interfaces in Control Rooms, Cockpits and Command Centres	IET		IEEE Xplore		ieee:6382					Unique_Item_Investigations	1	1	0
1999 International Conference on Human Interfaces in Control Rooms, Cockpits and Command Centres	IET		IEEE Xplore		ieee:6382					Total_Item_Investigations	1	1	0
2001 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings (Cat. No.01CH37221)	IEEE		IEEE Xplore	10.1109/ICASSP.2001	ieee:7486		1520-6149			Unique_Item_Requests	1	1	0
2001 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings (Cat. No.01CH37221)	IEEE		IEEE Xplore	10.1109/ICASSP.2001	ieee:7486		1520-6149			Total_Item_Requests	1	1	0
2001 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings (Cat. No.01CH37221)	IEEE		IEEE Xplore	10.1109/ICASSP.2001	ieee:7486		1520-6149			Unique_Item_Investigations	1	1	0
2001 IEEE International Conference on Acoustics, Speech, and Signal Processing. Proceedings (Cat. No.01CH37221)	IEEE		IEEE Xplore	10.1109/ICASSP.2001	ieee:7486		1520-6149			Total_Item_Investigations	1	1	0
2006 IEEE EIC Climate Change Conference	IEEE		IEEE Xplore	10.1109/IEEECONF10715.2006	ieee:4057290					Unique_Item_Requests	3	3	0
2006 IEEE EIC Climate Change Conference	IEEE		IEEE Xplore	10.1109/IEEECONF10715.2006	ieee:4057290					Total_Item_Requests	9	9	0
2006 IEEE EIC Climate Change Conference	IEEE		IEEE Xplore	10.1109/IEEECONF10715.2006	ieee:4057290					Unique_Item_Investigations	11	11	0
