Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Access_Type=Controlled|OA_Gold; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:34Z
Created_By	IGI Global e-Resources Platform

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Method for Improving the Pronunciation Quality of Vocal Music Students Based on Big Data Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Total_Item_Investigations	1	1	0
A Method for Improving the Pronunciation Quality of Vocal Music Students Based on Big Data Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Unique_Item_Investigations	1	1	0
A Method for Improving the Pronunciation Quality of Vocal Music Students Based on Big Data Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Total_Item_Requests	1	1	0
A Method for Improving the Pronunciation Quality of Vocal Music Students Based on Big Data Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Unique_Item_Requests	1	1	0
A Review of AI (Artificial Intelligence) Tools and Customer Experience in Online Fashion Retail	IGI Global		IGI Global e-Resources Platform				1548-1131	1548-114X		Total_Item_Investigations	1	0	1
A Review of AI (Artificial Intelligence) Tools and Customer Experience in Online Fashion Retail	IGI Global		IGI Global e-Resources Platform				1548-1131	1548-114X		Unique_Item_Investigations	1	0	1
A Self-Assessment Framework for Global Supply Chain Operations	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Total_Item_Investigations	26	3	23
A Self-Assessment Framework for Global Supply Chain Operations	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Unique_Item_Investigations	7	2	5
A Self-Assessment Framework for Global Supply Chain Operations	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Total_Item_Requests	12	1	11
A Self-Assessment Framework for Global Supply Chain Operations	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Unique_Item_Requests	5	1	4
Aligning Project and Benefits Management With Balanced Scorecard Approach to Achieve Project Success	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Total_Item_Investigations	4	4	0
Aligning Project and Benefits Management With Balanced Scorecard Approach to Achieve Project Success	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Unique_Item_Investigations	1	1	0
Aligning Project and Benefits Management With Balanced Scorecard Approach to Achieve Project Success	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Total_Item_Requests	2	2	0
Aligning Project and Benefits Management With Balanced Scorecard Approach to Achieve Project Success	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Unique_Item_Requests	1	1	0
Analysis of Artificial Intelligence Technology and Its Application in Improving the Effectiveness of Physical Education Teaching	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Total_Item_Investigations	4	4	0
Analysis of Artificial Intelligence Technology and Its Application in Improving the Effectiveness of Physical Education Teaching	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Unique_Item_Investigations	1	1	0
Analysis of Artificial Intelligence Technology and Its Application in Improving the Effectiveness of Physical Education Teaching	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Total_Item_Requests	3	3	0
Analysis of Artificial Intelligence Technology and Its Application in Improving the Effectiveness of Physical Education Teaching	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Unique_Item_Requests	1	1	0
Analysis of Piano Online Teaching System Based on Maximum Logarithm MPA Algorithm Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Total_Item_Investigations	1	1	0
Analysis of Piano Online Teaching System Based on Maximum Logarithm MPA Algorithm Technology	IGI Global		IGI Global e-Resources Platform				1548-1093	1548-1107		Unique_Item_Investigations	1	1	0
