Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Total_Item_Requests
Report_Filters	Data_Type=Multimedia; Access_Method=Regular
Report_Attributes	
Exceptions	3030: Service did not find any data for the date range specified. ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:37Z
Created_By	IGI Global e-Resources Platform

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
