Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:45:27Z
Created_By	IGI Global e-Resources Platform

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
IGI Global e-Resources Platform	Total_Item_Requests	64	22	42
IGI Global e-Resources Platform	Unique_Item_Requests	42	19	23
IGI Global e-Resources Platform	Unique_Title_Requests	3	0	3
