Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Book|Journal; Data_Type=Article|Book|Book_Segment
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:25Z
Created_By	ingentaconnect

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	Total_Item_Investigations	1	1	0
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	Unique_Item_Investigations	1	1	0
A Research Note on Relationships Between the Vertical Jump and Standing Broad Jump in Law Enforcement Recruits: Implications for Lower-Body Power Testing	Wolters Kluwer		connect	10.1519/jsc.0000000000003821			1064-8011		https://www.ingentaconnect.com/content/wk/jsc/2022/00000036/00000008/art00039	No_License	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	Total_Item_Investigations	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	Unique_Item_Investigations	1	1	0
Archives of Sexuality and Gender: LGBTQ History and Culture Since 1940, Part I	Annual Reviews		annurev	10.5260/chara.18.3.9			1525-4011	1525-4003	https://www.ingentaconnect.com/content/annurev/tca/2017/00000018/00000003/art00005	No_License	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	Total_Item_Investigations	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	Unique_Item_Investigations	1	1	0
Associations Between Technology Use, Responsive Feeding, and Child Temperament Among Prior Prenatal Intervention Participants	Wolters Kluwer		connect	10.1097/dbp.0000000000001174			0196-206X		https://www.ingentaconnect.com/content/wk/dbp/2023/00000044/00000004/art00010	No_License	1	1	0
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	Total_Item_Investigations	1	1	0
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	Unique_Item_Investigations	1	1	0
Comparison of Systemic Extended-release Buprenorphine and Local Extended-release Bupivacaine-Meloxicam as Analgesics for Laparotomy in Mice	American Association for Laboratory Animal Science		connect	10.30802/aalas-jaalas-22-000107			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000005/art00005	No_License	1	1	0
Determination of the Feasibility of Fish Attracting Devices for Enhancing Fisheries in Puerto Rico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/1989/00000044/00000002/art00039	Total_Item_Investigations	1	1	0
Determination of the Feasibility of Fish Attracting Devices for Enhancing Fisheries in Puerto Rico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/1989/00000044/00000002/art00039	Unique_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	Total_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	Unique_Item_Investigations	1	1	0
Eat, Sleep, Console and Adjunctive Buprenorphine Improved Outcomes in Neonatal Opioid Withdrawal Syndrome	Wolters Kluwer		connect	10.1097/anc.0000000000000824			1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc/2021/00000021/00000001/art00011	No_License	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	Total_Item_Investigations	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	Unique_Item_Investigations	1	1	0
Effects of transformational and shared leadership styles on employees' perception of team effectiveness	Scientific Journal Publishers		connect	10.2224/sbp.5805			0301-2212		https://www.ingentaconnect.com/content/sbp/sbp/2017/00000045/00000003/art00003	No_License	1	1	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	Total_Item_Investigations	2	2	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	Unique_Item_Investigations	1	1	0
Environmental Economics, Ecological Economics, and the Concept of Sustainable Development	White Horse Press		connect	10.3197/096327197776679158			0963-2719		https://www.ingentaconnect.com/content/whp/ev/1997/00000006/00000002/art00006	No_License	2	2	0
Evaluation of a Behavioral Test for Sickness Behavior Associated with Fusarium Mycotoxin Ingestion in Female Beagle Dogs (Canis familiaris)	American Association for Laboratory Animal Science		connect	10.30802/aalas-jaalas-22-000104			1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas/2023/00000062/00000004/art00009	Total_Item_Investigations	1	1	0
