Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Book|Journal; Section_Type=Article|Book|Chapter
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:46:42Z
Created_By	ingentaconnect

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Advances in Neonatal Care	Wolters Kluwer		connect				1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc	Total_Item_Investigations	1	1	0
Advances in Neonatal Care	Wolters Kluwer		connect				1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc	Unique_Item_Investigations	1	1	0
Advances in Neonatal Care	Wolters Kluwer		connect				1536-0903	1536-0911	https://www.ingentaconnect.com/content/wk/anc	No_License	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Total_Item_Investigations	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Unique_Item_Investigations	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Total_Item_Investigations	2	2	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Total_Item_Requests	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Unique_Item_Investigations	1	1	0
Bulletin of Marine Science	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect				0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar	Unique_Item_Requests	1	1	0
Current Nutrition & Food Science	Bentham Science Publishers		connect				1573-4013		https://www.ingentaconnect.com/content/ben/cnf	Total_Item_Investigations	1	1	0
Current Nutrition & Food Science	Bentham Science Publishers		connect				1573-4013		https://www.ingentaconnect.com/content/ben/cnf	Unique_Item_Investigations	1	1	0
Current Nutrition & Food Science	Bentham Science Publishers		connect				1573-4013		https://www.ingentaconnect.com/content/ben/cnf	No_License	1	1	0
Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)	Bentham Science Publishers		connect				1871-5303		https://www.ingentaconnect.com/content/ben/emiddt	Total_Item_Investigations	1	1	0
Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)	Bentham Science Publishers		connect				1871-5303		https://www.ingentaconnect.com/content/ben/emiddt	Unique_Item_Investigations	1	1	0
Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)	Bentham Science Publishers		connect				1871-5303		https://www.ingentaconnect.com/content/ben/emiddt	No_License	1	1	0
Environmental Values	White Horse Press		connect				0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev	Total_Item_Investigations	2	2	0
Environmental Values	White Horse Press		connect				0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev	Unique_Item_Investigations	1	1	0
Environmental Values	White Horse Press		connect				0963-2719	1752-7015	https://www.ingentaconnect.com/content/whp/ev	No_License	2	2	0
Journal of Addiction Medicine	Wolters Kluwer		connect				1932-0620		https://www.ingentaconnect.com/content/wk/adm	Total_Item_Investigations	1	1	0
Journal of Addiction Medicine	Wolters Kluwer		connect				1932-0620		https://www.ingentaconnect.com/content/wk/adm	Unique_Item_Investigations	1	1	0
Journal of Addiction Medicine	Wolters Kluwer		connect				1932-0620		https://www.ingentaconnect.com/content/wk/adm	No_License	1	1	0
Journal of Ambulatory Care Management	Wolters Kluwer		connect				0148-9917	1550-3267	https://www.ingentaconnect.com/content/wk/jac	Total_Item_Investigations	1	1	0
Journal of Ambulatory Care Management	Wolters Kluwer		connect				0148-9917	1550-3267	https://www.ingentaconnect.com/content/wk/jac	Unique_Item_Investigations	1	1	0
Journal of Ambulatory Care Management	Wolters Kluwer		connect				0148-9917	1550-3267	https://www.ingentaconnect.com/content/wk/jac	No_License	1	1	0
