Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	Total_Item_Requests; Unique_Item_Requests; Total_Item_Investigations; Unique_Item_Investigations; Unique_Title_Requests; Unique_Title_Investigations
Report_Filters	Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Request Usage is available up to 2024-01-31.Investigation Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:57Z
Created_By	ingentaconnect

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
