Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	Silverchair:35310
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		No_License	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		No_License	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Requests	3	3	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Investigations	3	3	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Total_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Requests	1	1	0
JAMA	American Medical Association		American Medical Association		Silverchair:67		0098-7484	1538-3598		Unique_Item_Investigations	1	1	0
