Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:48:53Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.2014.23.6.304						Unique_Item_Investigations	1	1	0
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.2014.23.6.304						Total_Item_Requests	1	1	0
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.2014.23.6.304						Total_Item_Investigations	1	1	0
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.2014.23.6.304						Unique_Item_Requests	1	1	0
An update on the treatment of cutaneous tumours	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2021.5.6.247						No_License	1	1	0
An update on the treatment of cutaneous tumours	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2021.5.6.247						Unique_Item_Investigations	1	1	0
An update on the treatment of cutaneous tumours	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2021.5.6.247						Total_Item_Investigations	1	1	0
Catheters: design, selection and management	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.1996.5.4.245						No_License	1	1	0
Catheters: design, selection and management	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.1996.5.4.245						Unique_Item_Investigations	1	1	0
Catheters: design, selection and management	Mark Allen Group		MA Healthcare Ltd	10.12968/bjon.1996.5.4.245						Total_Item_Investigations	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2019.3.2.57						Unique_Item_Investigations	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2019.3.2.57						Total_Item_Requests	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2019.3.2.57						Total_Item_Investigations	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	10.12968/ukve.2019.3.2.57						Unique_Item_Requests	1	1	0
Emergency management of gut stasis in rabbits	Mark Allen Group		MA Healthcare Ltd	10.12968/coan.2015.20.1.20						No_License	1	1	0
