Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mag:279322
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:49:03Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	Berni Addyman, Marion Bowman; 	2014-04-09	VoR	10.12968/bjon.2014.23.6.304					British Journal of Nursing			10.12968/bjon	mag:bjon	0966-0461	2052-2819		Controlled	Total_Item_Requests	1	1	0
Academic reflective writing: a study to examine its usefulness	Mark Allen Group		MA Healthcare Ltd	Berni Addyman, Marion Bowman; 	2014-04-09	VoR	10.12968/bjon.2014.23.6.304					British Journal of Nursing			10.12968/bjon	mag:bjon	0966-0461	2052-2819		Controlled	Unique_Item_Requests	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	Rory K Gormley; 	2019-03-22	VoR	10.12968/ukve.2019.3.2.57					UK-Vet Equine			10.12968/ukve	mag:ukve	2516-0583	2516-0591		Controlled	Total_Item_Requests	1	1	0
Diagnosis and management of retained fetal membranes	Mark Allen Group		MA Healthcare Ltd	Rory K Gormley; 	2019-03-22	VoR	10.12968/ukve.2019.3.2.57					UK-Vet Equine			10.12968/ukve	mag:ukve	2516-0583	2516-0591		Controlled	Unique_Item_Requests	1	1	0
Impact of paramedics carrying just-in-case end-of-life care medication	Mark Allen Group		MA Healthcare Ltd	Andeep Chohan, Bernadette Sewell, Edward O'Brian, Nikki Pease; 	2023-11-08	VoR	10.12968/jpar.2023.15.11.447					Journal of Paramedic Practice			10.12968/jpar	mag:jpar	1759-1376	2041-9457		OA_Gold	Total_Item_Requests	1	1	0
Impact of paramedics carrying just-in-case end-of-life care medication	Mark Allen Group		MA Healthcare Ltd	Andeep Chohan, Bernadette Sewell, Edward O'Brian, Nikki Pease; 	2023-11-08	VoR	10.12968/jpar.2023.15.11.447					Journal of Paramedic Practice			10.12968/jpar	mag:jpar	1759-1376	2041-9457		OA_Gold	Unique_Item_Requests	1	1	0
Teaching students how to interpret animal emotions part 1: in the classroom and on placement	Mark Allen Group		MA Healthcare Ltd	Sandra L Nicholson; 	2023-02-22	VoR	10.12968/vetn.2023.14.1.6					The Veterinary Nurse			10.12968/vetn	mag:vetn	2044-0065	2052-2959		Controlled	Total_Item_Requests	3	3	0
Teaching students how to interpret animal emotions part 1: in the classroom and on placement	Mark Allen Group		MA Healthcare Ltd	Sandra L Nicholson; 	2023-02-22	VoR	10.12968/vetn.2023.14.1.6					The Veterinary Nurse			10.12968/vetn	mag:vetn	2044-0065	2052-2959		Controlled	Unique_Item_Requests	1	1	0
