Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mal:8252134
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:50:05Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Bone Morphogenetic Protein Signaling Inhibitor, LDN193189, Converts Ischemia-Induced Multipotent Stem Cells into Neural Stem/Progenitor Cell-Like Cells	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/scd.2022.0139						Unique_Item_Investigations	2	2	0
A Bone Morphogenetic Protein Signaling Inhibitor, LDN193189, Converts Ischemia-Induced Multipotent Stem Cells into Neural Stem/Progenitor Cell-Like Cells	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/scd.2022.0139						Total_Item_Investigations	2	2	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2012.0743						Unique_Item_Investigations	5	5	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2012.0743						Unique_Item_Requests	5	5	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2012.0743						Total_Item_Requests	6	6	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2012.0743						Total_Item_Investigations	6	6	0
A Novel, Low-Cost Anesthesia and Injection System for Zebrafish Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2017.1513						Unique_Item_Investigations	1	1	0
A Novel, Low-Cost Anesthesia and Injection System for Zebrafish Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/zeb.2017.1513						Total_Item_Investigations	1	1	0
A Space-Time Permutation Scan Statistic for Evaluating County-Level Tickborne Disease Clusters in Indiana, 2009-2016	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/hs.2019.0159						Unique_Item_Investigations	2	2	0
A Space-Time Permutation Scan Statistic for Evaluating County-Level Tickborne Disease Clusters in Indiana, 2009-2016	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/hs.2019.0159						Total_Item_Investigations	2	2	0
Avoiding Ableist Language: Suggestions for Autism Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	10.1089/aut.2020.0014						Unique_Item_Investigations	3	3	0
