Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mal:8252134
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Parent_Data_Type=Journal; Data_Type=Article; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:50:16Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743					Zebrafish			10.1089/zeb.64	mal:zeb	1545-8547	1557-8542		OA_Gold	Unique_Item_Requests	5	5	0
A Guide to Writing a Scientific Paper: A Focus on High School Through Graduate Level Student Research	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Daniel Weber, Henry Tomasiewicz, David H. Petering, Renee A. Hesselbach, Craig A. Berg; 	2012-12-17	VoR	10.1089/zeb.2012.0743					Zebrafish			10.1089/zeb.64	mal:zeb	1545-8547	1557-8542		OA_Gold	Total_Item_Requests	6	6	0
Avoiding Ableist Language: Suggestions for Autism Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Jessica Nina Lester, Noah J. Sasson, Steven K. Kapp, Kristen Bottema-Beutel, Brittany N. Hand; 	2021-03-18	VoR	10.1089/aut.2020.0014					Autism in Adulthood			10.1089/aut	mal:aut	2573-9581	2573-959X		OA_Gold	Unique_Item_Requests	3	3	0
Avoiding Ableist Language: Suggestions for Autism Researchers	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Jessica Nina Lester, Noah J. Sasson, Steven K. Kapp, Kristen Bottema-Beutel, Brittany N. Hand; 	2021-03-18	VoR	10.1089/aut.2020.0014					Autism in Adulthood			10.1089/aut	mal:aut	2573-9581	2573-959X		OA_Gold	Total_Item_Requests	5	5	0
Cultural Beliefs and Traditional Practices During Pregnancy, Child Birth, and the Postpartum Period in East Gojjam Zone, Northwest Ethiopia: A Qualitative Study	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Bewket Yeserah Aynalem, Yibelu Bazezew Bitewa, Misganaw Fikrie Melesse; 	2023-08-16	VoR	10.1089/whr.2023.0024					Women's Health Reports			10.1089/whr	mal:whr		2688-4844		OA_Gold	Unique_Item_Requests	1	1	0
Cultural Beliefs and Traditional Practices During Pregnancy, Child Birth, and the Postpartum Period in East Gojjam Zone, Northwest Ethiopia: A Qualitative Study	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Bewket Yeserah Aynalem, Yibelu Bazezew Bitewa, Misganaw Fikrie Melesse; 	2023-08-16	VoR	10.1089/whr.2023.0024					Women's Health Reports			10.1089/whr	mal:whr		2688-4844		OA_Gold	Total_Item_Requests	1	1	0
Epithelialization in Wound Healing: A Comprehensive Review	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Andrew Sawaya, Marjana Tomic-Canic, Natalie C. Yin, Horacio Ramirez, Olivera Stojadinovic, Rivkah R. Isseroff, Shailee B. Patel, Irena Pastar, Aron G. Nusbaum, Laiqua Khalid; 	2014-07-09	VoR	10.1089/wound.2013.0473					Advances in Wound Care			10.1089/wound	mal:wound	2162-1918	2162-1934		Controlled	Unique_Item_Requests	1	1	0
Epithelialization in Wound Healing: A Comprehensive Review	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Andrew Sawaya, Marjana Tomic-Canic, Natalie C. Yin, Horacio Ramirez, Olivera Stojadinovic, Rivkah R. Isseroff, Shailee B. Patel, Irena Pastar, Aron G. Nusbaum, Laiqua Khalid; 	2014-07-09	VoR	10.1089/wound.2013.0473					Advances in Wound Care			10.1089/wound	mal:wound	2162-1918	2162-1934		Controlled	Total_Item_Requests	1	1	0
Evaluating Potential Anxiolytic Effects of Minor Cannabinoids and Terpenes After Acute and Chronic Oral Administration in Rats	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Catherine F. Moore, Elise M. Weerts, Timothy W. Lefever, Bryan W. Jenkins, Dan Covey, Jacob D. McDonald, Marcel O. Bonn-Miller; 	2023-09-15	VoR	10.1089/can.2023.0083					Cannabis and Cannabinoid Research			10.1089/can	mal:can	2578-5125	2378-8763		Controlled	Unique_Item_Requests	1	1	0
Evaluating Potential Anxiolytic Effects of Minor Cannabinoids and Terpenes After Acute and Chronic Oral Administration in Rats	Mary Ann Liebert, Inc., publishers		Mary Ann Liebert, Inc. Online Customer Support	Catherine F. Moore, Elise M. Weerts, Timothy W. Lefever, Bryan W. Jenkins, Dan Covey, Jacob D. McDonald, Marcel O. Bonn-Miller; 	2023-09-15	VoR	10.1089/can.2023.0083					Cannabis and Cannabinoid Research			10.1089/can	mal:can	2578-5125	2378-8763		Controlled	Total_Item_Requests	1	1	0
