Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	mal:8252134
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:49:36Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Mary Ann Liebert, Inc. Online Customer Support	Unique_Item_Investigations	45	45	0
Mary Ann Liebert, Inc. Online Customer Support	Total_Item_Requests	23	23	0
Mary Ann Liebert, Inc. Online Customer Support	Total_Item_Investigations	52	52	0
Mary Ann Liebert, Inc. Online Customer Support	Unique_Item_Requests	19	19	0
