Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mbs:sgid023870
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Book|Journal; Data_Type=Article|Book|Book_Segment
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:50:56Z
Created_By	Microbiology Society

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A low-pathogenic variant of infectious salmon anemia virus (ISAV-HPR0) is highly prevalent and causes a non-clinical transient infection in farmed Atlantic salmon (Salmo salar L.) in the Faroe Islands	Microbiology Society		mbs	10.1099/vir.0.027094-0			0022-1317	1465-2099	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.027094-0	Total_Item_Investigations	2	2	0
A low-pathogenic variant of infectious salmon anemia virus (ISAV-HPR0) is highly prevalent and causes a non-clinical transient infection in farmed Atlantic salmon (Salmo salar L.) in the Faroe Islands	Microbiology Society		mbs	10.1099/vir.0.027094-0			0022-1317	1465-2099	https://www.microbiologyresearch.org/content/journal/jgv/10.1099/vir.0.027094-0	Unique_Item_Investigations	2	2	0
Actinobacillus minor sp. nov., Actinobacillus porcinus sp. nov., and Actinobacillus indolicus sp. nov., Three New V Factor-Dependent Species from the Respiratory Tract of Pigs	Microbiology Society		mbs	10.1099/00207713-46-4-951			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-4-951	Total_Item_Investigations	1	1	0
Actinobacillus minor sp. nov., Actinobacillus porcinus sp. nov., and Actinobacillus indolicus sp. nov., Three New V Factor-Dependent Species from the Respiratory Tract of Pigs	Microbiology Society		mbs	10.1099/00207713-46-4-951			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-4-951	Total_Item_Requests	1	1	0
Actinobacillus minor sp. nov., Actinobacillus porcinus sp. nov., and Actinobacillus indolicus sp. nov., Three New V Factor-Dependent Species from the Respiratory Tract of Pigs	Microbiology Society		mbs	10.1099/00207713-46-4-951			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-4-951	Unique_Item_Investigations	1	1	0
Actinobacillus minor sp. nov., Actinobacillus porcinus sp. nov., and Actinobacillus indolicus sp. nov., Three New V Factor-Dependent Species from the Respiratory Tract of Pigs	Microbiology Society		mbs	10.1099/00207713-46-4-951			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-46-4-951	Unique_Item_Requests	1	1	0
Enterobacter aerogenes Hormaeche and Edwards 1960 (Approved Lists 1980) and Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980) share the same nomenclatural type (ATCC 13048) on the Approved Lists and are homotypic synonyms, with consequences for the name Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980)	Microbiology Society		mbs	10.1099/ijsem.0.001572			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001572	Total_Item_Investigations	1	1	0
Enterobacter aerogenes Hormaeche and Edwards 1960 (Approved Lists 1980) and Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980) share the same nomenclatural type (ATCC 13048) on the Approved Lists and are homotypic synonyms, with consequences for the name Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980)	Microbiology Society		mbs	10.1099/ijsem.0.001572			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001572	Total_Item_Requests	1	1	0
Enterobacter aerogenes Hormaeche and Edwards 1960 (Approved Lists 1980) and Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980) share the same nomenclatural type (ATCC 13048) on the Approved Lists and are homotypic synonyms, with consequences for the name Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980)	Microbiology Society		mbs	10.1099/ijsem.0.001572			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001572	Unique_Item_Investigations	1	1	0
Enterobacter aerogenes Hormaeche and Edwards 1960 (Approved Lists 1980) and Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980) share the same nomenclatural type (ATCC 13048) on the Approved Lists and are homotypic synonyms, with consequences for the name Klebsiella mobilis Bascomb et al. 1971 (Approved Lists 1980)	Microbiology Society		mbs	10.1099/ijsem.0.001572			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.001572	Unique_Item_Requests	1	1	0
