Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mbs:sgid023870
Metric_Types	No_License; Limit_Exceeded
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates(No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:50:47Z
Created_By	Microbiology Society

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Journal of Systematic and Evolutionary Microbiology	Microbiology Society		mbs			1466-5026	1466-5034	https://www.microbiologyresearch.org/content/journal/ijsem	No_License	4	4	0
