Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mms:000102063747
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:51:49Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa063446						Unique_Item_Investigations	1	1	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa063446						Unique_Item_Requests	1	1	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa063446						Total_Item_Requests	2	2	0
A Communication Strategy and Brochure for Relatives of Patients Dying in the ICU	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa063446						Total_Item_Investigations	2	2	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa1802637						Unique_Item_Investigations	1	1	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa1802637						Unique_Item_Requests	1	1	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa1802637						Total_Item_Requests	2	2	0
A Randomized Trial of a Family-Support Intervention in Intensive Care Units	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJMoa1802637						Total_Item_Investigations	2	2	0
A Serious Adverse Event after Successful Gene Therapy for X-Linked Severe Combined Immunodeficiency	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJM200301163480314						Unique_Item_Investigations	1	1	0
A Serious Adverse Event after Successful Gene Therapy for X-Linked Severe Combined Immunodeficiency	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJM200301163480314						Unique_Item_Requests	1	1	0
A Serious Adverse Event after Successful Gene Therapy for X-Linked Severe Combined Immunodeficiency	Massachusetts Medical Society		New England Journal of Medicine	10.1056/NEJM200301163480314						Total_Item_Requests	3	3	0
