Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mms:000102063747
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:51:39Z
Created_By	Atypon Systems LLC.

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
New England Journal of Medicine	Searches_Platform	171	171	0
New England Journal of Medicine	Unique_Item_Investigations	62	62	0
New England Journal of Medicine	Unique_Item_Requests	59	59	0
New England Journal of Medicine	Total_Item_Requests	79	79	0
New England Journal of Medicine	Total_Item_Investigations	83	83	0
