Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	mms:000102063747
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:52:02Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm	0028-4793	1533-4406		Controlled	Unique_Item_Investigations	62	62	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm	0028-4793	1533-4406		Controlled	Unique_Item_Requests	59	59	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm	0028-4793	1533-4406		Controlled	Total_Item_Requests	79	79	0
New England Journal of Medicine	Massachusetts Medical Society		New England Journal of Medicine	10.1056/nejm	mms:nejm	0028-4793	1533-4406		Controlled	Total_Item_Investigations	83	83	0
