Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Total_Item_Requests; Total_Item_Investigations; Searches_Regular; Searches_Federated; Searches_Automated
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:51:56Z
Created_By	NewsBank Inc.

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Full-Text News	Various Publishers		NewsBank		Searches_Regular	104	104	0
Full-Text News	Various Publishers		NewsBank		Total_Item_Requests	156	156	0
Full-Text News	Various Publishers		NewsBank		Total_Item_Investigations	228	228	0
Full-Text News	Various Publishers		NewsBank		Searches_Regular	421	0	421
Full-Text News	Various Publishers		NewsBank		Total_Item_Requests	147	0	147
Full-Text News	Various Publishers		NewsBank		Total_Item_Investigations	286	0	286
