Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	Total_Item_Requests; Unique_Item_Requests; Total_Item_Investigations; Unique_Item_Investigations
Report_Filters	Data_Type=Newspaper_or_Newsletter; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3062: Invalid ReportAttribute Value (Access_Method is not a recognized attribute for this report)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:51:59Z
Created_By	NewsBank Inc.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Age, The/The Sunday Age (Melbourne, Australia)	Nine Entertainment Company		NewsBank							Total_Item_Investigations	1	1	0
Age, The/The Sunday Age (Melbourne, Australia)	Nine Entertainment Company		NewsBank							Unique_Item_Investigations	1	1	0
Agence France-Presse	Agence France Presse (AFP)		NewsBank							Total_Item_Requests	1	0	1
Agence France-Presse	Agence France Presse (AFP)		NewsBank							Unique_Item_Requests	1	0	1
Agence France-Presse	Agence France Presse (AFP)		NewsBank							Total_Item_Investigations	1	0	1
Agence France-Presse	Agence France Presse (AFP)		NewsBank							Unique_Item_Investigations	1	0	1
Austin American-Statesman (TX)	Gannett Company, Inc.[GateHouse Media LLC]		NewsBank				0199-8560			Total_Item_Requests	1	0	1
Austin American-Statesman (TX)	Gannett Company, Inc.[GateHouse Media LLC]		NewsBank				0199-8560			Unique_Item_Requests	1	0	1
Austin American-Statesman (TX)	Gannett Company, Inc.[GateHouse Media LLC]		NewsBank				0199-8560			Total_Item_Investigations	2	0	2
Austin American-Statesman (TX)	Gannett Company, Inc.[GateHouse Media LLC]		NewsBank				0199-8560			Unique_Item_Investigations	2	0	2
Brampton Guardian (Canada)	Torstar Syndication Services		NewsBank				0841-6958			Total_Item_Investigations	2	0	2
Brampton Guardian (Canada)	Torstar Syndication Services		NewsBank				0841-6958			Unique_Item_Investigations	1	0	1
Cambridge News (England)	Reach PLC		NewsBank							Total_Item_Requests	1	0	1
Cambridge News (England)	Reach PLC		NewsBank							Unique_Item_Requests	1	0	1
Cambridge News (England)	Reach PLC		NewsBank							Total_Item_Investigations	1	0	1
Cambridge News (England)	Reach PLC		NewsBank							Unique_Item_Investigations	1	0	1
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Total_Item_Requests	3	3	0
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Unique_Item_Requests	3	3	0
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Total_Item_Investigations	6	6	0
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Unique_Item_Investigations	6	6	0
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Total_Item_Requests	3	0	3
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Unique_Item_Requests	2	0	2
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Total_Item_Investigations	8	0	8
Canada Newswire (Canada)	PR Newswire Association, LLC		NewsBank							Unique_Item_Investigations	5	0	5
Consumer Goods Monitor Worldwide (Amman, Jordan)	Global Data Point Ltd.		NewsBank							Total_Item_Requests	2	2	0
Consumer Goods Monitor Worldwide (Amman, Jordan)	Global Data Point Ltd.		NewsBank							Unique_Item_Requests	1	1	0
Consumer Goods Monitor Worldwide (Amman, Jordan)	Global Data Point Ltd.		NewsBank							Total_Item_Investigations	2	2	0
Consumer Goods Monitor Worldwide (Amman, Jordan)	Global Data Point Ltd.		NewsBank							Unique_Item_Investigations	1	1	0
Conversation, The: Canada Edition (Canada)	The Conversation Media Group Ltd		NewsBank							Total_Item_Requests	2	0	2
Conversation, The: Canada Edition (Canada)	The Conversation Media Group Ltd		NewsBank							Unique_Item_Requests	2	0	2
Conversation, The: Canada Edition (Canada)	The Conversation Media Group Ltd		NewsBank							Total_Item_Investigations	3	0	3
Conversation, The: Canada Edition (Canada)	The Conversation Media Group Ltd		NewsBank							Unique_Item_Investigations	3	0	3
