Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	"""UNIV OF PRINCE EDWARD ISLAND, ROBERTSON LIBRARY"""
Institution_ID	pnas:PR447048
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-10-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:52:56Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2217864120						Unique_Item_Investigations	4	4	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2217864120						Total_Item_Requests	5	5	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2217864120						Total_Item_Investigations	6	6	0
A Cdk5-derived peptide inhibits Cdk5/p25 activity and improves neurodegenerative phenotypes	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2217864120						Unique_Item_Requests	4	4	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1319030111						Unique_Item_Investigations	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1319030111						Total_Item_Requests	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1319030111						Total_Item_Investigations	2	2	0
Active learning increases student performance in science, engineering, and mathematics	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1319030111						Unique_Item_Requests	2	2	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0601565103						Unique_Item_Investigations	1	1	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0601565103						Total_Item_Requests	1	1	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0601565103						Total_Item_Investigations	2	2	0
Activity-dependent gene regulation in skeletal muscle is mediated by a histone deacetylase (HDAC)-Dach2-myogenin signal transduction cascade	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0601565103						Unique_Item_Requests	1	1	0
Altruistic behaviors relieve physical pain	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1911861117						Unique_Item_Investigations	1	1	0
Altruistic behaviors relieve physical pain	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1911861117						Total_Item_Requests	1	1	0
Altruistic behaviors relieve physical pain	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1911861117						Total_Item_Investigations	1	1	0
Altruistic behaviors relieve physical pain	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1911861117						Unique_Item_Requests	1	1	0
Anthropogenic disturbances jeopardize biodiversity conservation within tropical rainforest reserves	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1602893113						Unique_Item_Investigations	2	2	0
Anthropogenic disturbances jeopardize biodiversity conservation within tropical rainforest reserves	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1602893113						Total_Item_Requests	4	4	0
Anthropogenic disturbances jeopardize biodiversity conservation within tropical rainforest reserves	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1602893113						Total_Item_Investigations	4	4	0
Anthropogenic disturbances jeopardize biodiversity conservation within tropical rainforest reserves	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.1602893113						Unique_Item_Requests	2	2	0
Anthropogenic impacts on Late Holocene land-cover change and floristic biodiversity loss in tropical southeastern Asia	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2022210118						Unique_Item_Investigations	1	1	0
Anthropogenic impacts on Late Holocene land-cover change and floristic biodiversity loss in tropical southeastern Asia	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2022210118						Total_Item_Requests	1	1	0
Anthropogenic impacts on Late Holocene land-cover change and floristic biodiversity loss in tropical southeastern Asia	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2022210118						Total_Item_Investigations	1	1	0
Anthropogenic impacts on Late Holocene land-cover change and floristic biodiversity loss in tropical southeastern Asia	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.2022210118						Unique_Item_Requests	1	1	0
Bacillus subtilis spreads by surfing on waves of surfactant	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0905890106						Unique_Item_Investigations	1	1	0
Bacillus subtilis spreads by surfing on waves of surfactant	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0905890106						Total_Item_Requests	1	1	0
Bacillus subtilis spreads by surfing on waves of surfactant	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0905890106						Total_Item_Investigations	2	2	0
Bacillus subtilis spreads by surfing on waves of surfactant	Proceedings of the National Academy of Sciences		pnas	10.1073/pnas.0905890106						Unique_Item_Requests	1	1	0
