Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	"""UNIV OF PRINCE EDWARD ISLAND, ROBERTSON LIBRARY"""
Institution_ID	pnas:PR447048
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2021-10-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:53:33Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Proceedings of the National Academy of Sciences	Proceedings of the National Academy of Sciences		pnas	10.1073/eissn.1091-6490	pnas:pnas	0027-8424	1091-6490		Unique_Item_Requests	50	50	0
Proceedings of the National Academy of Sciences	Proceedings of the National Academy of Sciences		pnas	10.1073/eissn.1091-6490	pnas:pnas	0027-8424	1091-6490		Total_Item_Requests	63	63	0
