Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book|Platform
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:43Z
Created_By	ProQuest Ebook Central

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ProQuest Ebook Central	Searches_Platform	554	287	267
ProQuest Ebook Central	Total_Item_Investigations	8410	4524	3886
ProQuest Ebook Central	Total_Item_Requests	6821	3502	3319
ProQuest Ebook Central	Unique_Item_Investigations	1921	1152	769
ProQuest Ebook Central	Unique_Item_Requests	1501	882	619
ProQuest Ebook Central	Unique_Title_Investigations	1592	919	673
ProQuest Ebook Central	Unique_Title_Requests	1172	649	523
