Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book; Access_Type=Controlled
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:51Z
Created_By	ProQuest Ebook Central

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Total_Item_Investigations	3	0	3
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Unique_Item_Investigations	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Total_Item_Requests	2	0	2
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Unique_Item_Requests	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Unique_Title_Investigations	1	0	1
A Concise Manual of Pathogenic Microbiology	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:918261	978-1-118-30119-7				Unique_Title_Requests	1	0	1
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Total_Item_Investigations	5	5	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Unique_Item_Investigations	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Total_Item_Requests	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Unique_Item_Requests	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Unique_Title_Investigations	3	3	0
A Dictionary of Nursing	Oxford University Press USA - OSO		ProQuest Ebook Central		EBC:5825872	978-0-19-878845-4				Unique_Title_Requests	3	3	0
A Guide to MATLAB	Cambridge University Press		ProQuest Ebook Central		EBC:261120	978-0-521-85068-1				No_License	1	0	1
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				Total_Item_Investigations	1	0	1
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				Unique_Item_Investigations	1	0	1
A Guide to Treatments That Work	Oxford University Press, Incorporated		ProQuest Ebook Central		EBC:3564597	978-0-19-934221-1				Unique_Title_Investigations	1	0	1
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Total_Item_Investigations	6	1	5
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Unique_Item_Investigations	4	1	3
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Total_Item_Requests	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Unique_Item_Requests	2	0	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Unique_Title_Investigations	3	1	2
A Pedagogy of Faith	Bloomsbury Publishing Plc		ProQuest Ebook Central		EBC:4865700	978-1-4725-7925-6				Unique_Title_Requests	1	0	1
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Total_Item_Investigations	6	6	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Unique_Item_Investigations	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Total_Item_Requests	4	4	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Unique_Item_Requests	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Unique_Title_Investigations	2	2	0
A Practical Approach to Dynamical Systems for Engineers	Elsevier Science & Technology		ProQuest Ebook Central		EBC:4178584	978-0-08-100202-5				Unique_Title_Requests	2	2	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Total_Item_Investigations	10	10	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Unique_Item_Investigations	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Total_Item_Requests	8	8	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Unique_Item_Requests	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Unique_Title_Investigations	3	3	0
A Practical Guide to the Histology of the Mouse	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1584994	978-1-119-94120-0				Unique_Title_Requests	3	3	0
A Reader in the History, Culture, and Politics of Modern East Asia	Cognella, Inc.		ProQuest Ebook Central		EBC:6564421	978-1-5165-8124-5				Total_Item_Investigations	1	0	1
A Reader in the History, Culture, and Politics of Modern East Asia	Cognella, Inc.		ProQuest Ebook Central		EBC:6564421	978-1-5165-8124-5				Unique_Item_Investigations	1	0	1
A Reader in the History, Culture, and Politics of Modern East Asia	Cognella, Inc.		ProQuest Ebook Central		EBC:6564421	978-1-5165-8124-5				No_License	1	0	1
A Reader in the History, Culture, and Politics of Modern East Asia	Cognella, Inc.		ProQuest Ebook Central		EBC:6564421	978-1-5165-8124-5				Unique_Title_Investigations	1	0	1
ABC of Prehospital Emergency Medicine	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1315489	978-0-470-65488-0				Total_Item_Investigations	6	6	0
ABC of Prehospital Emergency Medicine	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1315489	978-0-470-65488-0				Unique_Item_Investigations	5	5	0
ABC of Prehospital Emergency Medicine	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1315489	978-0-470-65488-0				Unique_Title_Investigations	5	5	0
ACT for Adolescents	Context Press		ProQuest Ebook Central		EBC:4460298	978-1-62625-357-5				Total_Item_Investigations	3	3	0
ACT for Adolescents	Context Press		ProQuest Ebook Central		EBC:4460298	978-1-62625-357-5				Unique_Item_Investigations	2	2	0
ACT for Adolescents	Context Press		ProQuest Ebook Central		EBC:4460298	978-1-62625-357-5				Unique_Title_Investigations	2	2	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Total_Item_Investigations	5	5	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Unique_Item_Investigations	2	2	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Total_Item_Requests	1	1	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Unique_Item_Requests	1	1	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Unique_Title_Investigations	2	2	0
Adapting Curriculum to Bridge Equity Gaps	Organization for Economic Cooperation & Development		ProQuest Ebook Central		EBC:6688776	978-92-64-83321-0				Unique_Title_Requests	1	1	0
Advances in Quantum Computation	American Mathematical Society		ProQuest Ebook Central		EBC:3113162	978-0-8218-4627-8				Total_Item_Investigations	1	0	1
Advances in Quantum Computation	American Mathematical Society		ProQuest Ebook Central		EBC:3113162	978-0-8218-4627-8				Unique_Item_Investigations	1	0	1
