Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBC:upei
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Platform=ProQuest Ebook Central; Access_Method=Regular; Data_Type=Book
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:57Z
Created_By	ProQuest Ebook Central

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Guide to MATLAB	Cambridge University Press		ProQuest Ebook Central		EBC:261120	978-0-521-85068-1				2006	No_License	1	0	1
A Reader in the History, Culture, and Politics of Modern East Asia	Cognella, Inc.		ProQuest Ebook Central		EBC:6564421	978-1-5165-8124-5				2021	No_License	1	0	1
Ageing, The Body and Social Change	Palgrave Macmillan UK		ProQuest Ebook Central		EBC:4323930	978-0-230-51759-2				2008	No_License	1	0	1
Bananas	Grove/Atlantic, Incorporated		ProQuest Ebook Central		EBC:5504137	978-1-84767-194-3				2009	No_License	1	0	1
Captive Genders	AK Press		ProQuest Ebook Central		EBC:876398	978-1-84935-070-9				2011	No_License	1	1	0
Coastal Dunes	Springer Berlin / Heidelberg		ProQuest Ebook Central		EBC:6370247	978-3-540-74001-8				2007	No_License	6	6	0
Comparative Veterinary Histology with Clinical Correlates	Taylor & Francis Group		ProQuest Ebook Central		EBC:1407692	978-1-84076-148-1				2001	Limit_Exceeded	1	1	0
Fish Respiration	Elsevier Science & Technology		ProQuest Ebook Central		EBC:404290	978-0-12-350441-8				1998	No_License	1	1	0
Innovative Management and Firm Performance	Palgrave Macmillan UK		ProQuest Ebook Central		EBC:4330042	978-1-137-40220-2				2014	No_License	1	0	1
Medical-Surgical Nursing Made Incredibly Easy!	Wolters Kluwer Health		ProQuest Ebook Central		EBC:5122323	978-1-4963-2484-9				2016	No_License	1	1	0
Pedagogy of the Oppressed	Bloomsbury Academic & Professional		ProQuest Ebook Central		EBC:1745456	978-0-8264-1276-8				2014	No_License	8	8	0
Project Management	John Wiley & Sons, Incorporated		ProQuest Ebook Central		EBC:1113482	978-1-118-02227-6				2013	No_License	1	0	1
Selected Writings on Race and Difference	Duke University Press		ProQuest Ebook Central		EBC:6518979	978-1-4780-1052-4				2021	No_License	1	1	0
Substance Abuse	ABC-CLIO, LLC		ProQuest Ebook Central		EBC:3000916	978-0-313-31218-2				2002	No_License	1	1	0
