Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:16Z
Created_By	ProQuest

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ProQuest	Total_Item_Investigations	3	1	2
ProQuest	Unique_Item_Investigations	2	1	1
ProQuest	Unique_Title_Investigations	2	1	1
ProQuest	Total_Item_Investigations	400	162	238
ProQuest	Total_Item_Requests	346	132	214
ProQuest	Unique_Item_Investigations	283	124	159
ProQuest	Unique_Item_Requests	241	100	141
ProQuest	Total_Item_Investigations	36	20	16
ProQuest	Total_Item_Requests	32	17	15
ProQuest	Unique_Item_Investigations	27	17	10
ProQuest	Unique_Item_Requests	24	15	9
ProQuest	Total_Item_Investigations	24	10	14
ProQuest	Total_Item_Requests	21	9	12
ProQuest	Unique_Item_Investigations	17	9	8
ProQuest	Unique_Item_Requests	17	9	8
ProQuest	Searches_Platform	295	189	106
ProQuest	Total_Item_Investigations	1	1	0
ProQuest	Total_Item_Requests	1	1	0
ProQuest	Unique_Item_Investigations	1	1	0
ProQuest	Unique_Item_Requests	1	1	0
ProQuest	Total_Item_Investigations	26	5	21
ProQuest	Total_Item_Requests	14	3	11
ProQuest	Unique_Item_Investigations	21	4	17
ProQuest	Unique_Item_Requests	13	3	10
