Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:03Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Academy of Educational Leadership Journal	Allied Business Academies		ProQuest		ProQuest:38741		1095-6328	1528-2643		No_License	2	0	2
Academy of Marketing Studies Journal	Allied Business Academies		ProQuest		ProQuest:38744		1095-6298	1095-6298		No_License	1	0	1
Academy of Strategic Management Journal	Allied Business Academies		ProQuest		ProQuest:38745		1544-1458	1939-6104		No_License	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054		0001-8449			Total_Item_Investigations	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054		0001-8449			Total_Item_Requests	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054		0001-8449			Unique_Item_Investigations	1	0	1
Adolescence	Libra Publishers Inc		ProQuest		ProQuest:1819054		0001-8449			Unique_Item_Requests	1	0	1
Agriculture  Food Security	BioMed Central		ProQuest		ProQuest:2040176			2048-7010		Total_Item_Investigations	1	0	1
Agriculture  Food Security	BioMed Central		ProQuest		ProQuest:2040176			2048-7010		Total_Item_Requests	1	0	1
Agriculture  Food Security	BioMed Central		ProQuest		ProQuest:2040176			2048-7010		Unique_Item_Investigations	1	0	1
Agriculture  Food Security	BioMed Central		ProQuest		ProQuest:2040176			2048-7010		Unique_Item_Requests	1	0	1
Alternative Medicine	InnoVision Health Media Inc		ProQuest		ProQuest:2030010		2162-884X			No_License	3	0	3
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934		1205-7398			Total_Item_Investigations	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934		1205-7398			Total_Item_Requests	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934		1205-7398			Unique_Item_Investigations	1	0	1
Alternatives Journal	Alternatives Media Inc		ProQuest		ProQuest:35934		1205-7398			Unique_Item_Requests	1	0	1
American Institute of Chemical Engineers. AIChE Journal	American Institute of Chemical		ProQuest		ProQuest:7879		0001-1541	1547-5905		No_License	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Total_Item_Investigations	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Total_Item_Requests	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Unique_Item_Investigations	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Unique_Item_Requests	1	1	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Total_Item_Investigations	3	3	0
Anthropologica	Canadian Anthropology Society		ProQuest		ProQuest:46875		0003-5459	2292-3586		Unique_Item_Investigations	2	2	0
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101		0003-5491			Total_Item_Investigations	4	2	2
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101		0003-5491			Total_Item_Requests	4	2	2
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101		0003-5491			Unique_Item_Investigations	4	2	2
Anthropological Quarterly	Institute for Ethnographic Research		ProQuest		ProQuest:1818101		0003-5491			Unique_Item_Requests	4	2	2
Antiquity	Cambridge University Press		ProQuest		ProQuest:1818741		0003-598X	1745-1744		Total_Item_Investigations	2	0	2
Antiquity	Cambridge University Press		ProQuest		ProQuest:1818741		0003-598X	1745-1744		Total_Item_Requests	2	0	2
Antiquity	Cambridge University Press		ProQuest		ProQuest:1818741		0003-598X	1745-1744		Unique_Item_Investigations	2	0	2
Antiquity	Cambridge University Press		ProQuest		ProQuest:1818741		0003-598X	1745-1744		Unique_Item_Requests	2	0	2
Applied Mechanics and Materials	Trans Tech Publications Ltd		ProQuest		ProQuest:2029177		1660-9336	1662-7482		Total_Item_Investigations	1	0	1
Applied Mechanics and Materials	Trans Tech Publications Ltd		ProQuest		ProQuest:2029177		1660-9336	1662-7482		Unique_Item_Investigations	1	0	1
Aquaculture  Aquarium  Conservation  Legislation	Bioflux SRL		ProQuest		ProQuest:2046424		1844-8143	1844-9166		Total_Item_Investigations	2	0	2
Aquaculture  Aquarium  Conservation  Legislation	Bioflux SRL		ProQuest		ProQuest:2046424		1844-8143	1844-9166		Total_Item_Requests	2	0	2
