Report_Name	Journal Access Denied
Report_ID	TR_J2
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:53Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Institute of Chemical Engineers. AIChE Journal	American Institute of Chemical		ProQuest		ProQuest:7879	0001-1541	1547-5905		No_License	1	1	0
ASHRAE Journal	American Society of Heating  Refrigerating and AirConditioning Engineers  Inc		ProQuest		ProQuest:41118	0001-2491	1943-6637		No_License	1	1	0
Comparative Clinical Pathology	Springer Nature BV		ProQuest		ProQuest:1456361	1618-5641	1618-565X		No_License	1	1	0
Educational Research Quarterly	Educational Research Quarterly		ProQuest		ProQuest:48020	0196-5042			No_License	1	1	0
Femspec	Femspec		ProQuest		ProQuest:42681	1523-4002			No_License	2	2	0
Information Management	SourceMedia		ProQuest		ProQuest:51938				No_License	1	1	0
International Journal of Childbirth Education	International Childbirth Education		ProQuest		ProQuest:32235	0887-8625			No_License	1	1	0
Journal of Organisation and Human Behaviour	Publishing India Group		ProQuest		ProQuest:2030932	2277-3274	2320-4966		No_License	1	1	0
Journal of Organizational Culture, Communications and Conflict	Allied Business Academies		ProQuest		ProQuest:38870	1544-0508	1939-4691		No_License	1	1	0
Journal of the National Society of Allied Health	The National Society of Allied Health		ProQuest		ProQuest:39591	1945-3361			No_License	1	1	0
MIT Sloan Management Review	Massachusetts Institute of Technology		ProQuest		ProQuest:26142	1532-9194	1532-8937		No_License	1	1	0
Nursing Management (2014+)	RCNi		ProQuest		ProQuest:2042231	1354-5760	2047-8976		No_License	1	1	0
Organizational Cultures	Common Ground Research Networks		ProQuest		ProQuest:5527633	2327-8013	2327-932X		No_License	4	4	0
Postgraduate Medicine	JTE Multimedia		ProQuest		ProQuest:41277	0032-5481	1941-9260		No_License	2	2	0
Ranch and Rural Living	Ranch and Rural Living Magazine		ProQuest		ProQuest:24102	1084-5402			No_License	1	1	0
Reclaiming Children and Youth	Starr Global Learning Network		ProQuest		ProQuest:33810	1089-5701			No_License	1	1	0
Research and Theory for Nursing Practice	Springer Publishing Company		ProQuest		ProQuest:28849	1541-6577	1945-7286		No_License	1	1	0
Review of Integrative Business and Economics Research 	Society of Interdisciplinary Business Research		ProQuest		ProQuest:2032316	2414-6722	2304-1013		No_License	1	1	0
The Journal of Government Financial Management	Association of Government Accountants		ProQuest		ProQuest:26015	1533-1385			No_License	1	1	0
The New Zealand Medical Journal (Online)	New Zealand Medical Association		ProQuest		ProQuest:1056335		1175-8716		No_License	1	1	0
Theory in Action	Transformative Studies Institute		ProQuest		ProQuest:2006343	1937-0229	1937-0237		No_License	2	2	0
Tribology & Lubrication Technology	Society of Tribologists and Lubrication		ProQuest		ProQuest:44644	1545-858X			No_License	3	3	0
Tribology Letters	Springer Nature BV		ProQuest		ProQuest:2043827	1023-8883	1573-2711		No_License	1	1	0
