Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:54:52Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.focus.20200050						Unique_Item_Investigations	1	1	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.focus.20200050						Unique_Item_Requests	1	1	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.focus.20200050						Total_Item_Investigations	2	2	0
An Answer to “So What?” Implications of Network Theory for Research and Practice	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.focus.20200050						Total_Item_Requests	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Unique_Item_Investigations	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Unique_Item_Requests	1	1	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Total_Item_Investigations	2	2	0
Cautionary Statement for Forensic Use of DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Cautionary_Statement_for_Forensic_Use_of_DSM_5						Total_Item_Requests	1	1	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.pn.2024.02.2.28						Unique_Item_Investigations	4	4	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.pn.2024.02.2.28						Unique_Item_Requests	4	4	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.pn.2024.02.2.28						Total_Item_Investigations	10	10	0
Celebrating the “B” in “DEIBA”	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.pn.2024.02.2.28						Total_Item_Requests	5	5	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.psychotherapy.20200025						Unique_Item_Investigations	1	1	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.psychotherapy.20200025						Unique_Item_Requests	1	1	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.psychotherapy.20200025						Total_Item_Investigations	2	2	0
Clinicians’ Cognitive and Affective Biases and the Practice of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.psychotherapy.20200025						Total_Item_Requests	1	1	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing	10.5555/appi.books.9780890425787.x00pre						Unique_Item_Investigations	1	1	0
Copyright	American Psychiatric Publishing		American Psychiatric Publishing	10.5555/appi.books.9780890425787.x00pre						Unique_Item_Requests	1	1	0
