Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T05:55:23Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp		0002-953X	1535-7228		Unique_Item_Investigations	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp		0002-953X	1535-7228		Total_Item_Requests	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp		0002-953X	1535-7228		Total_Item_Investigations	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp		0002-953X	1535-7228		Unique_Item_Requests	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Unique_Item_Investigations	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Total_Item_Requests	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Total_Item_Investigations	2	2	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Unique_Item_Requests	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Unique_Item_Investigations	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Total_Item_Requests	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Total_Item_Investigations	2	2	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt		0002-9564	2575-6559		Unique_Item_Requests	1	1	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Unique_Title_Investigations	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Unique_Title_Requests	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Unique_Item_Investigations	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Total_Item_Requests	8	8	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Total_Item_Investigations	8	8	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425596		978-0-89042-557-2				Unique_Item_Requests	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Unique_Title_Investigations	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Unique_Title_Requests	5	5	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Unique_Item_Investigations	10	10	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Total_Item_Requests	14	14	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Total_Item_Investigations	30	30	0
Diagnostic and Statistical Manual of Mental Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787						Unique_Item_Requests	10	10	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Unique_Title_Investigations	1	1	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Unique_Title_Requests	1	1	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Unique_Item_Investigations	1	1	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Total_Item_Requests	1	1	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Total_Item_Investigations	2	2	0
DSM-5® Handbook of Differential Diagnosis	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781585629992		978-1-58562-998-5				Unique_Item_Requests	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Unique_Item_Investigations	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Total_Item_Requests	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Total_Item_Investigations	2	2	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Unique_Item_Requests	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Unique_Item_Investigations	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Total_Item_Requests	1	1	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Total_Item_Investigations	2	2	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc		1541-4094	1541-4108		Unique_Item_Requests	1	1	0
Learning Solution-Focused Therapy: An Illustrated Guide	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781615370986						Unique_Title_Investigations	1	1	0
Learning Solution-Focused Therapy: An Illustrated Guide	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781615370986						Unique_Item_Investigations	1	1	0
Learning Solution-Focused Therapy: An Illustrated Guide	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9781615370986						Total_Item_Investigations	2	2	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn		0033-2704	1559-1255		Unique_Item_Investigations	4	4	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn		0033-2704	1559-1255		Total_Item_Requests	5	5	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn		0033-2704	1559-1255		Total_Item_Investigations	10	10	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn		0033-2704	1559-1255		Unique_Item_Requests	4	4	0
