Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:55:13Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Unique_Item_Investigations	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Unique_Item_Requests	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Total_Item_Requests	1	1	0
American Journal of Psychiatry	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/ajp	app:ajp	0002-953X	1535-7228		Controlled	Total_Item_Investigations	1	1	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Unique_Item_Investigations	2	2	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Unique_Item_Requests	2	2	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Total_Item_Requests	2	2	0
American Journal of Psychotherapy	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/psychotherapy	app:apt	0002-9564	2575-6559		Controlled	Total_Item_Investigations	4	4	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Unique_Item_Investigations	2	2	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Unique_Item_Requests	2	2	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Total_Item_Requests	2	2	0
FOCUS	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/foc	app:foc	1541-4094	1541-4108		Controlled	Total_Item_Investigations	4	4	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Unique_Item_Investigations	4	4	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Unique_Item_Requests	4	4	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Total_Item_Requests	5	5	0
Psychiatric News	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/pn	app:pn	0033-2704	1559-1255		Controlled	Total_Item_Investigations	10	10	0
