Report_Name	Book Access Denied
Report_ID	TR_B2
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Limit_Exceeded; No_License
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:55:59Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Inorganic Electrochemistry	Royal Society of Chemistry		Silverchair	10.1039/9781847551146						2007	No_License	1	1	0
Processing Metabolomics and Proteomics Data with Open Software: A Practical Guide	Royal Society of Chemistry		Silverchair	10.1039/9781788019880						2020	No_License	1	1	0
