Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:56:11Z
Created_By	MPS Limited

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Controlled	Unique_Item_Requests	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Controlled	Total_Item_Requests	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Controlled	Unique_Item_Investigations	1	1	0
Analytical Methods	Royal Society of Chemistry		pubs.rsc.org	10.1039/17599679/2009		1759-9660	1759-9679	https://www.rsc.org/Publishing/Journals/AY/Index.asp	Controlled	Total_Item_Investigations	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Controlled	Unique_Item_Requests	1	1	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Controlled	Total_Item_Requests	2	2	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Controlled	Unique_Item_Investigations	2	2	0
Biomaterials Science	Royal Society of Chemistry		pubs.rsc.org	10.1039/20474849/2013		2047-4830	2047-4849	https://www.rsc.org/Publishing/Journals/BM/Index.asp	Controlled	Total_Item_Investigations	3	3	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Controlled	Unique_Item_Requests	6	6	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Controlled	Total_Item_Requests	11	11	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Controlled	Unique_Item_Investigations	14	14	0
Chemical Communications	Royal Society of Chemistry		pubs.rsc.org	10.1039/1364548X/1996		1359-7345	1364-548X	https://www.rsc.org/Publishing/Journals/CC/Index.asp	Controlled	Total_Item_Investigations	19	19	0
Chemical Society Reviews	Royal Society of Chemistry		pubs.rsc.org	10.1039/14604744/1972		0306-0012	1460-4744	https://www.rsc.org/Publishing/Journals/CS/Index.asp	Controlled	Unique_Item_Requests	5	5	0
Chemical Society Reviews	Royal Society of Chemistry		pubs.rsc.org	10.1039/14604744/1972		0306-0012	1460-4744	https://www.rsc.org/Publishing/Journals/CS/Index.asp	Controlled	Total_Item_Requests	7	7	0
