Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	rsj:CU-0735144
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-12-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:01Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A case for environmental statistics of early-life effects	Royal Society		rsj	10.1098/rstb.2018.0110						Unique_Item_Investigations	1	1	0
A case for environmental statistics of early-life effects	Royal Society		rsj	10.1098/rstb.2018.0110						Unique_Item_Requests	1	1	0
A case for environmental statistics of early-life effects	Royal Society		rsj	10.1098/rstb.2018.0110						Total_Item_Investigations	1	1	0
A case for environmental statistics of early-life effects	Royal Society		rsj	10.1098/rstb.2018.0110						Total_Item_Requests	1	1	0
A confidence limit for the empirical mode decomposition and Hilbert spectral analysis	Royal Society		rsj	10.1098/rspa.2003.1123						Unique_Item_Investigations	1	1	0
A confidence limit for the empirical mode decomposition and Hilbert spectral analysis	Royal Society		rsj	10.1098/rspa.2003.1123						Total_Item_Investigations	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	10.1098/rstb.2011.0092						Unique_Item_Investigations	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	10.1098/rstb.2011.0092						Unique_Item_Requests	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	10.1098/rstb.2011.0092						Total_Item_Investigations	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	10.1098/rstb.2011.0092						Total_Item_Requests	1	1	0
Consciousness: here, there and everywhere?	Royal Society		rsj	10.1098/rstb.2014.0167						Unique_Item_Investigations	1	1	0
Consciousness: here, there and everywhere?	Royal Society		rsj	10.1098/rstb.2014.0167						Unique_Item_Requests	1	1	0
Consciousness: here, there and everywhere?	Royal Society		rsj	10.1098/rstb.2014.0167						Total_Item_Investigations	3	3	0
Consciousness: here, there and everywhere?	Royal Society		rsj	10.1098/rstb.2014.0167						Total_Item_Requests	3	3	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	10.1098/rsos.230145						Unique_Item_Investigations	1	1	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	10.1098/rsos.230145						Unique_Item_Requests	1	1	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	10.1098/rsos.230145						Total_Item_Investigations	1	1	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	10.1098/rsos.230145						Total_Item_Requests	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	10.1098/rstb.2006.1953						Unique_Item_Investigations	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	10.1098/rstb.2006.1953						Unique_Item_Requests	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	10.1098/rstb.2006.1953						Total_Item_Investigations	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	10.1098/rstb.2006.1953						Total_Item_Requests	1	1	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	10.1098/rsos.202073						Unique_Item_Investigations	1	1	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	10.1098/rsos.202073						Unique_Item_Requests	1	1	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	10.1098/rsos.202073						Total_Item_Investigations	2	2	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	10.1098/rsos.202073						Total_Item_Requests	2	2	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	10.1098/rspb.2012.2573						Unique_Item_Investigations	2	2	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	10.1098/rspb.2012.2573						Unique_Item_Requests	2	2	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	10.1098/rspb.2012.2573						Total_Item_Investigations	5	5	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	10.1098/rspb.2012.2573						Total_Item_Requests	5	5	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	10.1098/rstb.2021.0209						Unique_Item_Investigations	3	3	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	10.1098/rstb.2021.0209						Unique_Item_Requests	3	3	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	10.1098/rstb.2021.0209						Total_Item_Investigations	3	3	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	10.1098/rstb.2021.0209						Total_Item_Requests	3	3	0
Genomic architecture of supergenes: connecting form and function	Royal Society		rsj	10.1098/rstb.2021.0192						Unique_Item_Investigations	3	3	0
Genomic architecture of supergenes: connecting form and function	Royal Society		rsj	10.1098/rstb.2021.0192						Unique_Item_Requests	3	3	0
