Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	rsj:CU-0735144
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Article; Parent_Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-12-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:34Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A case for environmental statistics of early-life effects	Royal Society		rsj	Daniel Nettle, Sasha R. X. Dall, Willem E. Frankenhuis; 	2019-02-25	VoR	10.1098/rstb.2018.0110					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Requests	1	1	0
A case for environmental statistics of early-life effects	Royal Society		rsj	Daniel Nettle, Sasha R. X. Dall, Willem E. Frankenhuis; 	2019-02-25	VoR	10.1098/rstb.2018.0110					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Requests	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	Benjamin L. Hart; 	2011-12-12	VoR	10.1098/rstb.2011.0092					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Unique_Item_Requests	1	1	0
Behavioural defences in animals against pathogens and parasites: parallels with the pillars of medicine in humans	Royal Society		rsj	Benjamin L. Hart; 	2011-12-12	VoR	10.1098/rstb.2011.0092					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Total_Item_Requests	1	1	0
Consciousness: here, there and everywhere?	Royal Society		rsj	Christof Koch, Giulio Tononi; 	2015-05-19	VoR	10.1098/rstb.2014.0167					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Requests	1	1	0
Consciousness: here, there and everywhere?	Royal Society		rsj	Christof Koch, Giulio Tononi; 	2015-05-19	VoR	10.1098/rstb.2014.0167					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Requests	3	3	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	Jeremy M. DeSilva, Luke D. Fannin, Mary S. Joy, Nathaniel J. Dominy, W. Scott McGraw; 	2023-09-06	VoR	10.1098/rsos.230145					Royal Society Open Science			10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Unique_Item_Requests	1	1	0
Downclimbing and the evolution of ape forelimb morphologies	Royal Society		rsj	Jeremy M. DeSilva, Luke D. Fannin, Mary S. Joy, Nathaniel J. Dominy, W. Scott McGraw; 	2023-09-06	VoR	10.1098/rsos.230145					Royal Society Open Science			10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Total_Item_Requests	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	E.J Murphy, J Forcada, P.N Trathan; 	2007-05-24	VoR	10.1098/rstb.2006.1953					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Unique_Item_Requests	1	1	0
Environmental forcing and Southern Ocean marine predator populations: effects of climate change and variability	Royal Society		rsj	E.J Murphy, J Forcada, P.N Trathan; 	2007-05-24	VoR	10.1098/rstb.2006.1953					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		Controlled	Total_Item_Requests	1	1	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	Christina McMullen, Emily Guarino, Katy Donegan, Kelly Jaakkola, Stephanie L. King; 	2021-03-17	VoR	10.1098/rsos.202073					Royal Society Open Science			10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Unique_Item_Requests	1	1	0
Evidence that bottlenose dolphins can communicate with vocal signals to solve a cooperative task	Royal Society		rsj	Christina McMullen, Emily Guarino, Katy Donegan, Kelly Jaakkola, Stephanie L. King; 	2021-03-17	VoR	10.1098/rsos.202073					Royal Society Open Science			10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Total_Item_Requests	2	2	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	Gerald G. Carter, Gerald S. Wilkinson; 	2013-02-22	VoR	10.1098/rspb.2012.2573					Proceedings of the Royal Society B: Biological Sciences			10.1098/rspb	rsj:rspb		1471-2954		Controlled	Unique_Item_Requests	2	2	0
Food sharing in vampire bats: reciprocal help predicts donations more than relatedness or harassment	Royal Society		rsj	Gerald G. Carter, Gerald S. Wilkinson; 	2013-02-22	VoR	10.1098/rspb.2012.2573					Proceedings of the Royal Society B: Biological Sciences			10.1098/rspb	rsj:rspb		1471-2954		Controlled	Total_Item_Requests	5	5	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	Elena Campoy, Illya Yakymenko, Jon Lerga-Jaso, Mario Cáceres, Marta Puig; 	2022-06-13	VoR	10.1098/rstb.2021.0209					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Requests	3	3	0
Genomic architecture and functional effects of potential human inversion supergenes	Royal Society		rsj	Elena Campoy, Illya Yakymenko, Jon Lerga-Jaso, Mario Cáceres, Marta Puig; 	2022-06-13	VoR	10.1098/rstb.2021.0209					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Requests	3	3	0
Genomic architecture of supergenes: connecting form and function	Royal Society		rsj	Ben Wielstra, Emma L. Berdan, Genevieve M. Kozak, Katie E. Lotterhos, Thomas Flatt; 	2022-06-13	VoR	10.1098/rstb.2021.0192					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Unique_Item_Requests	3	3	0
Genomic architecture of supergenes: connecting form and function	Royal Society		rsj	Ben Wielstra, Emma L. Berdan, Genevieve M. Kozak, Katie E. Lotterhos, Thomas Flatt; 	2022-06-13	VoR	10.1098/rstb.2021.0192					Philosophical Transactions of the Royal Society B: Biological Sciences			10.1098/rstb	rsj:rstb	0962-8436	1471-2970		OA_Gold	Total_Item_Requests	3	3	0
Grooming reciprocation among female primates: a meta-analysis	Royal Society		rsj	Filippo Aureli, Gabriele Schino; 	2007-11-13	VoR	10.1098/rsbl.2007.0506					Biology Letters			10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Unique_Item_Requests	1	1	0
Grooming reciprocation among female primates: a meta-analysis	Royal Society		rsj	Filippo Aureli, Gabriele Schino; 	2007-11-13	VoR	10.1098/rsbl.2007.0506					Biology Letters			10.1098/rsbl	rsj:rsbl		1744-957X		Controlled	Total_Item_Requests	1	1	0
Heaps’ Law and Heaps functions in tagged texts: evidences of their linguistic relevance	Royal Society		rsj	A. Chacoma, D. H. Zanette; 	2020-03-18	VoR	10.1098/rsos.200008					Royal Society Open Science			10.1098/rsos	rsj:rsos		2054-5703		OA_Gold	Unique_Item_Requests	2	2	0
