Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	rsj:CU-0735144
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-12-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:01:18Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		2007	Unique_Item_Requests	1	1	0
Biology Letters	Royal Society		rsj	10.1098/rsbl	rsj:rsbl		1744-957X		2007	Total_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		2006	Unique_Item_Requests	2	2	0
Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rsta	rsj:rsta	1364-503X	1471-2962		2006	Total_Item_Requests	2	2	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2007	Unique_Item_Requests	2	2	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2007	Total_Item_Requests	3	3	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2010	Unique_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2010	Total_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2011	Unique_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2011	Total_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2013	Unique_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2013	Total_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2015	Unique_Item_Requests	1	1	0
Philosophical Transactions of the Royal Society B: Biological Sciences	Royal Society		rsj	10.1098/rstb	rsj:rstb	0962-8436	1471-2970		2015	Total_Item_Requests	1	1	0
Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences	Royal Society		rsj	10.1098/rspa	rsj:rspa		1471-2946		1948	Unique_Item_Requests	1	1	0
