Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	rsc:3140
Metric_Types	Searches_Platform; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:13Z
Created_By	MPS Limited

Platform	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
pubs.rsc.org	Unique_Item_Requests	100	100	0
pubs.rsc.org	Total_Item_Requests	163	163	0
rsc.xyz	Searches_Platform	2	2	0
Silverchair	Unique_Item_Requests	1	1	0
Silverchair	Unique_Title_Requests	1	1	0
Silverchair	Total_Item_Requests	2	2	0
