Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sagepub:21063
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:00:52Z
Created_By	Sage Publishing SecureCenter

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Sage Business Cases - 2023	Sage Publications		Sage Knowledge	sagepub:201883	No_License	1	1	0
Sage Business Cases - 2023	Sage Publications		Sage Knowledge	sagepub:201883	Total_Item_Investigations	1	1	0
Sage Business Cases - 2023	Sage Publications		Sage Knowledge	sagepub:201883	Unique_Item_Investigations	1	1	0
Sage Business Cases - 2023	Sage Publications		Sage Knowledge	sagepub:201883	Unique_Title_Investigations	1	1	0
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Total_Item_Investigations	39	7	32
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Total_Item_Requests	30	3	27
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Unique_Item_Investigations	17	5	12
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Unique_Item_Requests	12	2	10
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Unique_Title_Investigations	9	5	4
Sage Research Methods	Sage Publications		Sage Research Methods	sagepub:7164	Unique_Title_Requests	4	2	2
Sage Research Methods Cases Part 2	Sage Publications		Sage Research Methods	sagepub:87966	No_License	1	1	0
Sage Research Methods Cases Part 2	Sage Publications		Sage Research Methods	sagepub:87966	Total_Item_Investigations	1	1	0
Sage Research Methods Cases Part 2	Sage Publications		Sage Research Methods	sagepub:87966	Unique_Item_Investigations	1	1	0
Sage Research Methods Cases Part 2	Sage Publications		Sage Research Methods	sagepub:87966	Unique_Title_Investigations	1	1	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Total_Item_Investigations	11	11	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Total_Item_Requests	11	11	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Unique_Item_Investigations	4	4	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Unique_Item_Requests	4	4	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Unique_Title_Investigations	4	4	0
Sage Research Methods Foundations	Sage Publications		Sage Research Methods	sagepub:41283	Unique_Title_Requests	4	4	0
Sage Research Methods Video	Sage Publications		Sage Research Methods	sagepub:74352	No_License	1	0	1
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Total_Item_Investigations	2	2	0
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Total_Item_Requests	2	2	0
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Unique_Item_Investigations	2	2	0
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Unique_Item_Requests	2	2	0
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Unique_Title_Investigations	2	2	0
Sage Research Methods Video: Practical Research and Academic Skills	Sage Publications		Sage Research Methods	sagepub:149623	Unique_Title_Requests	2	2	0
