Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sagepub:21063
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:01:00Z
Created_By	Sage Publishing SecureCenter

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Action Research in Healthcare	Sage Publications		Sage Knowledge	10.4135/9781446288696	sagepub:233457	978-1-4462-8869-6		9781-1848		Unique_Title_Investigations	3	0	3
Action Research in Healthcare	Sage Publications		Sage Knowledge	10.4135/9781446288696	sagepub:233457	978-1-4462-8869-6		9781-1848		Total_Item_Investigations	4	0	4
Action Research in Healthcare	Sage Publications		Sage Knowledge	10.4135/9781446288696	sagepub:233457	978-1-4462-8869-6		9781-1848		Unique_Item_Investigations	3	0	3
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Unique_Title_Investigations	2	0	2
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Unique_Title_Requests	2	0	2
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Total_Item_Investigations	2	0	2
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Total_Item_Requests	2	0	2
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Unique_Item_Investigations	2	0	2
Adult Personality Development: Theories and Concepts	Sage Publications		Sage Knowledge	10.4135/9781452233796	sagepub:4322	978-1-4522-3379-6		9780-0803		Unique_Item_Requests	2	0	2
Classical Sociological Theory	Sage Publications		Sage Knowledge	10.4135/9781452233864	sagepub:225360	978-1-4522-3386-4		9780-0761		Unique_Title_Investigations	1	1	0
Classical Sociological Theory	Sage Publications		Sage Knowledge	10.4135/9781452233864	sagepub:225360	978-1-4522-3386-4		9780-0761		Total_Item_Investigations	1	1	0
Classical Sociological Theory	Sage Publications		Sage Knowledge	10.4135/9781452233864	sagepub:225360	978-1-4522-3386-4		9780-0761		Unique_Item_Investigations	1	1	0
Communication in Nursing and Healthcare	Sage Publications		Sage Knowledge	10.4135/9781529714753		978-1-5297-1475-3				Unique_Title_Investigations	1	0	1
Communication in Nursing and Healthcare	Sage Publications		Sage Knowledge	10.4135/9781529714753		978-1-5297-1475-3				Total_Item_Investigations	2	0	2
Communication in Nursing and Healthcare	Sage Publications		Sage Knowledge	10.4135/9781529714753		978-1-5297-1475-3				Unique_Item_Investigations	1	0	1
Critical Ethnography: Method, Ethics, and Performance	Sage Publications		Sage Knowledge	10.4135/9781452233826	sagepub:226057	978-1-4522-3382-6		9780-0761		Unique_Title_Investigations	1	1	0
Critical Ethnography: Method, Ethics, and Performance	Sage Publications		Sage Knowledge	10.4135/9781452233826	sagepub:226057	978-1-4522-3382-6		9780-0761		Total_Item_Investigations	1	1	0
Critical Ethnography: Method, Ethics, and Performance	Sage Publications		Sage Knowledge	10.4135/9781452233826	sagepub:226057	978-1-4522-3382-6		9780-0761		Unique_Item_Investigations	1	1	0
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Unique_Title_Investigations	2	0	2
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Unique_Title_Requests	2	0	2
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Total_Item_Investigations	2	0	2
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Total_Item_Requests	2	0	2
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Unique_Item_Investigations	2	0	2
Cultivating Communication in the Classroom	Sage Publications		Sage Knowledge	10.4135/9781071801420		978-1-0718-0142-0				Unique_Item_Requests	2	0	2
Diagnostic Essentials of Psychopathology: A Case-Based Approach	Sage Publications		Sage Knowledge	10.4135/9781529740073		978-1-5063-3809-5				No_License	4	4	0
Diagnostic Essentials of Psychopathology: A Case-Based Approach	Sage Publications		Sage Knowledge	10.4135/9781529740073		978-1-5063-3809-5				Unique_Title_Investigations	3	3	0
