Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	10.1177/01634437231202154						Unique_Item_Investigations	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	10.1177/01634437231202154						Unique_Item_Requests	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	10.1177/01634437231202154						Total_Item_Requests	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	10.1177/01634437231202154						Total_Item_Investigations	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	10.1177/0160597615604651						Unique_Item_Investigations	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	10.1177/0160597615604651						Unique_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	10.1177/0160597615604651						Total_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	10.1177/0160597615604651						Total_Item_Investigations	1	1	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	10.1177/1098612X16643252						Unique_Item_Investigations	2	2	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	10.1177/1098612X16643252						Unique_Item_Requests	2	2	0
