Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:28Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154					Media, Culture & Society			10.1177/mcsa	sage:mcsa	0163-4437	1460-3675		Controlled	Unique_Item_Requests	1	1	0
(Dis)Affordances: Publicness and the Question of Absence	SAGE Publications		SAGE Journals	Kusha Sefat; 	2023-10-09	VoR	10.1177/01634437231202154					Media, Culture & Society			10.1177/mcsa	sage:mcsa	0163-4437	1460-3675		Controlled	Total_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651					Humanity & Society			10.1177/hasa	sage:hasa	0160-5976	2372-9708		Controlled	Unique_Item_Requests	1	1	0
(Dys) Functional Diagnosing Mental Health Diagnosis, Medicalization, and the Making of Transgender Patients	SAGE Publications Inc		SAGE Journals	Melissa M. Gesbeck, Jodie M. Dewey; 	2015-09-14	VoR	10.1177/0160597615604651					Humanity & Society			10.1177/hasa	sage:hasa	0160-5976	2372-9708		Controlled	Total_Item_Requests	1	1	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	Amy Hinc, A Renee Rucinsky, David Bruyette, Steven J Bailey, Cynthia R Ward, Hazel C Carney, Sonnya Dennis, Duncan Ferguson; 	2016-05-03	VoR	10.1177/1098612X16643252					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Unique_Item_Requests	2	2	0
2016 AAFP Guidelines for the Management of Feline Hyperthyroidism	SAGE Publications		SAGE Journals	Amy Hinc, A Renee Rucinsky, David Bruyette, Steven J Bailey, Cynthia R Ward, Hazel C Carney, Sonnya Dennis, Duncan Ferguson; 	2016-05-03	VoR	10.1177/1098612X16643252					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Total_Item_Requests	2	2	0
2020 AAHA/AAFP Feline Vaccination Guidelines	SAGE Publications		SAGE Journals	Jane Sykes, Philip H Kass, Mark E Westman, Ernest P Petersen, Ellen M Carozza, Amy ES Stone, Gary O Brummet; 	2020-08-26	VoR	10.1177/1098612X20941784					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Unique_Item_Requests	3	3	0
2020 AAHA/AAFP Feline Vaccination Guidelines	SAGE Publications		SAGE Journals	Jane Sykes, Philip H Kass, Mark E Westman, Ernest P Petersen, Ellen M Carozza, Amy ES Stone, Gary O Brummet; 	2020-08-26	VoR	10.1177/1098612X20941784					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Total_Item_Requests	3	3	0
2021 ISFM Consensus Guidelines on the Collection and Administration of Blood and Blood Products in Cats	SAGE Publications		SAGE Journals	Paulo Steagall, Séverine Tasker, Eva Spada, Mayank Seth, Samantha Taylor, Ellie Leister, Rachel Korman, Mary Beth Callan, Remo Lobetti; 	2021-04-26	VoR	10.1177/1098612X211007071					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Unique_Item_Requests	1	1	0
2021 ISFM Consensus Guidelines on the Collection and Administration of Blood and Blood Products in Cats	SAGE Publications		SAGE Journals	Paulo Steagall, Séverine Tasker, Eva Spada, Mayank Seth, Samantha Taylor, Ellie Leister, Rachel Korman, Mary Beth Callan, Remo Lobetti; 	2021-04-26	VoR	10.1177/1098612X211007071					Journal of Feline Medicine and Surgery			10.1177/jfma	sage:jfma	1098-612X	1532-2750		Controlled	Total_Item_Requests	1	1	0
