Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:00Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Unique_Item_Requests	1	1	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		Total_Item_Requests	2	2	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Unique_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		Total_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Unique_Item_Requests	11	11	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		Total_Item_Requests	12	12	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Unique_Item_Requests	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		Total_Item_Requests	1	1	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Unique_Item_Requests	2	2	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		Total_Item_Requests	6	6	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		Unique_Item_Requests	1	1	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		Total_Item_Requests	1	1	0
Adult Learning	SAGE Publications		SAGE Journals	10.1177/alxa	sage:alxa	1045-1595	2162-4070		Unique_Item_Requests	1	1	0
Adult Learning	SAGE Publications		SAGE Journals	10.1177/alxa	sage:alxa	1045-1595	2162-4070		Total_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		Unique_Item_Requests	4	4	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		Total_Item_Requests	6	6	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		Unique_Item_Requests	3	3	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		Total_Item_Requests	4	4	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		Unique_Item_Requests	2	2	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		Total_Item_Requests	2	2	0
