Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Type=Controlled; Access_Method=Regular; Data_Type=Journal
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:34Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		2000	Total_Item_Requests	2	2	0
About Campus	SAGE Publications		SAGE Journals	10.1177/acaa	sage:acaa	1086-4822	1536-0687		2000	Unique_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		2014	Total_Item_Requests	1	1	0
Acta Radiologica	SAGE Publications		SAGE Journals	10.1177/acrc	sage:acrc	0284-1851	1600-0455		2014	Unique_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2008	Total_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2008	Unique_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2009	Total_Item_Requests	6	6	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2009	Unique_Item_Requests	5	5	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2012	Total_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2012	Unique_Item_Requests	2	2	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2014	Total_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2014	Unique_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2022	Total_Item_Requests	1	1	0
Action Research	SAGE Publications		SAGE Journals	10.1177/arja	sage:arja	1476-7503	1741-2617		2022	Unique_Item_Requests	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		2018	Total_Item_Requests	1	1	0
Active Learning in Higher Education	SAGE Publications		SAGE Journals	10.1177/alha	sage:alha	1469-7874	1741-2625		2018	Unique_Item_Requests	1	1	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		2011	Total_Item_Requests	1	1	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		2011	Unique_Item_Requests	1	1	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		2013	Total_Item_Requests	5	5	0
Administration & Society	SAGE Publications		SAGE Journals	10.1177/aasb	sage:aasb	0095-3997	1552-3039		2013	Unique_Item_Requests	1	1	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		2017	Total_Item_Requests	1	1	0
Adoption & Fostering	SAGE Publications		SAGE Journals	10.1177/aafa	sage:aafa	0308-5759	1740-469X		2017	Unique_Item_Requests	1	1	0
Adult Learning	SAGE Publications		SAGE Journals	10.1177/alxa	sage:alxa	1045-1595	2162-4070		2014	Total_Item_Requests	1	1	0
Adult Learning	SAGE Publications		SAGE Journals	10.1177/alxa	sage:alxa	1045-1595	2162-4070		2014	Unique_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2008	Total_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2008	Unique_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2018	Total_Item_Requests	3	3	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2018	Unique_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2019	Total_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2019	Unique_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2022	Total_Item_Requests	1	1	0
Affilia	SAGE Publications		SAGE Journals	10.1177/affa	sage:affa	0886-1099	1552-3020		2022	Unique_Item_Requests	1	1	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2011	Total_Item_Requests	1	1	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2011	Unique_Item_Requests	1	1	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2020	Total_Item_Requests	2	2	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2020	Unique_Item_Requests	1	1	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2023	Total_Item_Requests	1	1	0
AlterNative: An International Journal of Indigenous Peoples	SAGE Publications		SAGE Journals	10.1177/alna	sage:alna	1177-1801	1174-1740		2023	Unique_Item_Requests	1	1	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		1999	Total_Item_Requests	1	1	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		1999	Unique_Item_Requests	1	1	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		2018	Total_Item_Requests	1	1	0
American Behavioral Scientist	SAGE Publications Inc		SAGE Journals	10.1177/absb	sage:absb	0002-7642	1552-3381		2018	Unique_Item_Requests	1	1	0
American Educational Research Journal	American Educational Research Association		SAGE Journals	10.1177/aera	sage:aera	0002-8312	1935-1011		2015	Total_Item_Requests	1	1	0
American Educational Research Journal	American Educational Research Association		SAGE Journals	10.1177/aera	sage:aera	0002-8312	1935-1011		2015	Unique_Item_Requests	1	1	0
American Journal of Health Promotion	SAGE Publications		SAGE Journals	10.1177/ahpa	sage:ahpa	0890-1171	2168-6602		2021	Total_Item_Requests	1	1	0
American Journal of Health Promotion	SAGE Publications		SAGE Journals	10.1177/ahpa	sage:ahpa	0890-1171	2168-6602		2021	Unique_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2008	Total_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2008	Unique_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2012	Total_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2012	Unique_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2016	Total_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2016	Unique_Item_Requests	1	1	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2019	Total_Item_Requests	5	5	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2019	Unique_Item_Requests	5	5	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2021	Total_Item_Requests	2	2	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2021	Unique_Item_Requests	2	2	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2023	Total_Item_Requests	3	3	0
American Journal of Hospice and Palliative Medicine®	SAGE Publications Inc		SAGE Journals	10.1177/ajhb	sage:ajhb	1049-9091	1938-2715		2023	Unique_Item_Requests	1	1	0
American Journal of Lifestyle Medicine	SAGE Publications		SAGE Journals	10.1177/ajla	sage:ajla	1559-8276	1559-8284		2011	Total_Item_Requests	1	1	0
American Journal of Lifestyle Medicine	SAGE Publications		SAGE Journals	10.1177/ajla	sage:ajla	1559-8276	1559-8284		2011	Unique_Item_Requests	1	1	0
American Journal of Lifestyle Medicine	SAGE Publications		SAGE Journals	10.1177/ajla	sage:ajla	1559-8276	1559-8284		2015	Total_Item_Requests	3	3	0
American Journal of Lifestyle Medicine	SAGE Publications		SAGE Journals	10.1177/ajla	sage:ajla	1559-8276	1559-8284		2015	Unique_Item_Requests	2	2	0
Annals of the ICRP	SAGE Publications		SAGE Journals	10.1177/anib	sage:anib	0146-6453	1872-969X		1989	Total_Item_Requests	1	1	0
Annals of the ICRP	SAGE Publications		SAGE Journals	10.1177/anib	sage:anib	0146-6453	1872-969X		1989	Unique_Item_Requests	1	1	0
Annals of the ICRP	SAGE Publications		SAGE Journals	10.1177/anib	sage:anib	0146-6453	1872-969X		2022	Total_Item_Requests	2	2	0
Annals of the ICRP	SAGE Publications		SAGE Journals	10.1177/anib	sage:anib	0146-6453	1872-969X		2022	Unique_Item_Requests	1	1	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2001	Total_Item_Requests	4	4	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2001	Unique_Item_Requests	3	3	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2008	Total_Item_Requests	2	2	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2008	Unique_Item_Requests	1	1	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2021	Total_Item_Requests	3	3	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2021	Unique_Item_Requests	1	1	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2022	Total_Item_Requests	3	3	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2022	Unique_Item_Requests	3	3	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2023	Total_Item_Requests	5	5	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		2023	Unique_Item_Requests	4	4	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		9999	Total_Item_Requests	3	3	0
Anthropological Theory	SAGE Publications		SAGE Journals	10.1177/anta	sage:anta	1463-4996	1741-2641		9999	Unique_Item_Requests	2	2	0
Asia Pacific Journal of Public Health	SAGE Publications		SAGE Journals	10.1177/apha	sage:apha	1010-5395	1941-2479		2012	Total_Item_Requests	2	2	0
Asia Pacific Journal of Public Health	SAGE Publications		SAGE Journals	10.1177/apha	sage:apha	1010-5395	1941-2479		2012	Unique_Item_Requests	2	2	0
Asia Pacific Journal of Public Health	SAGE Publications		SAGE Journals	10.1177/apha	sage:apha	1010-5395	1941-2479		2016	Total_Item_Requests	1	1	0
Asia Pacific Journal of Public Health	SAGE Publications		SAGE Journals	10.1177/apha	sage:apha	1010-5395	1941-2479		2016	Unique_Item_Requests	1	1	0
Asia-Pacific Journal of Management Research and Innovation	SAGE Publications		SAGE Journals	10.1177/abrb	sage:abrb	2319-510X	2321-0729		2020	Total_Item_Requests	3	3	0
Asia-Pacific Journal of Management Research and Innovation	SAGE Publications		SAGE Journals	10.1177/abrb	sage:abrb	2319-510X	2321-0729		2020	Unique_Item_Requests	1	1	0
Australasian Marketing Journal	SAGE Publications		SAGE Journals	10.1177/anza	sage:anza	1441-3582	1839-3349		2010	Total_Item_Requests	2	2	0
Australasian Marketing Journal	SAGE Publications		SAGE Journals	10.1177/anza	sage:anza	1441-3582	1839-3349		2010	Unique_Item_Requests	2	2	0
Australian & New Zealand Journal of Psychiatry	SAGE Publications		SAGE Journals	10.1177/anpa	sage:anpa	0004-8674	1440-1614		2010	Total_Item_Requests	1	1	0
Australian & New Zealand Journal of Psychiatry	SAGE Publications		SAGE Journals	10.1177/anpa	sage:anpa	0004-8674	1440-1614		2010	Unique_Item_Requests	1	1	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		2009	Total_Item_Requests	1	1	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		2009	Unique_Item_Requests	1	1	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		2019	Total_Item_Requests	2	2	0
Autism	SAGE Publications		SAGE Journals	10.1177/auta	sage:auta	1362-3613	1461-7005		2019	Unique_Item_Requests	1	1	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		2012	Total_Item_Requests	2	2	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		2012	Unique_Item_Requests	2	2	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		2020	Total_Item_Requests	1	1	0
Behavior Modification	SAGE Publications		SAGE Journals	10.1177/bmoa	sage:bmoa	0145-4455	1552-4167		2020	Unique_Item_Requests	1	1	0
Behavioral Disorders	SAGE Publications Inc		SAGE Journals	10.1177/bhda	sage:bhda	0198-7429	2163-5307		2022	Total_Item_Requests	1	1	0
Behavioral Disorders	SAGE Publications Inc		SAGE Journals	10.1177/bhda	sage:bhda	0198-7429	2163-5307		2022	Unique_Item_Requests	1	1	0
Biological Research For Nursing	SAGE Publications		SAGE Journals	10.1177/brna	sage:brna	1099-8004	1552-4175		2020	Total_Item_Requests	3	3	0
Biological Research For Nursing	SAGE Publications		SAGE Journals	10.1177/brna	sage:brna	1099-8004	1552-4175		2020	Unique_Item_Requests	2	2	0
Canadian Association of Radiologists Journal	SAGE Publications		SAGE Journals	10.1177/caja	sage:caja	0846-5371	1488-2361		2022	Total_Item_Requests	1	1	0
Canadian Association of Radiologists Journal	SAGE Publications		SAGE Journals	10.1177/caja	sage:caja	0846-5371	1488-2361		2022	Unique_Item_Requests	1	1	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		2019	Total_Item_Requests	3	3	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		2019	Unique_Item_Requests	3	3	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		2021	Total_Item_Requests	2	2	0
Canadian Journal of Nursing Research	SAGE Publications		SAGE Journals	10.1177/cjnb	sage:cjnb	0844-5621	1705-7051		2021	Unique_Item_Requests	2	2	0
Canadian Journal of School Psychology	SAGE Publications		SAGE Journals	10.1177/cjsa	sage:cjsa	0829-5735	2154-3984		2009	Total_Item_Requests	1	1	0
Canadian Journal of School Psychology	SAGE Publications		SAGE Journals	10.1177/cjsa	sage:cjsa	0829-5735	2154-3984		2009	Unique_Item_Requests	1	1	0
Citizenship, Social and Economics Education	SAGE Publications		SAGE Journals	10.1177/csea	sage:csea	1478-8047	2047-1734		2017	Total_Item_Requests	1	1	0
Citizenship, Social and Economics Education	SAGE Publications		SAGE Journals	10.1177/csea	sage:csea	1478-8047	2047-1734		2017	Unique_Item_Requests	1	1	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		2004	Total_Item_Requests	1	1	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		2004	Unique_Item_Requests	1	1	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		2008	Total_Item_Requests	1	1	0
City & Community	SAGE Publications		SAGE Journals	10.1177/ctya	sage:ctya	1535-6841	1540-6040		2008	Unique_Item_Requests	1	1	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2012	Total_Item_Requests	3	3	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2012	Unique_Item_Requests	1	1	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2019	Total_Item_Requests	2	2	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2019	Unique_Item_Requests	2	2	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2023	Total_Item_Requests	1	1	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		2023	Unique_Item_Requests	1	1	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		2016	Total_Item_Requests	3	3	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		2016	Unique_Item_Requests	1	1	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		2018	Total_Item_Requests	8	8	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		2018	Unique_Item_Requests	7	7	0
Clinical Psychological Science	SAGE Publications		SAGE Journals	10.1177/cpxa	sage:cpxa	2167-7026	2167-7034		2018	Total_Item_Requests	5	5	0
Clinical Psychological Science	SAGE Publications		SAGE Journals	10.1177/cpxa	sage:cpxa	2167-7026	2167-7034		2018	Unique_Item_Requests	5	5	0
Communication Research	SAGE Publications		SAGE Journals	10.1177/crxa	sage:crxa	0093-6502	1552-3810		2017	Total_Item_Requests	1	1	0
Communication Research	SAGE Publications		SAGE Journals	10.1177/crxa	sage:crxa	0093-6502	1552-3810		2017	Unique_Item_Requests	1	1	0
Community College Review	SAGE Publications		SAGE Journals	10.1177/crwa	sage:crwa	0091-5521	1940-2325		2008	Total_Item_Requests	1	1	0
Community College Review	SAGE Publications		SAGE Journals	10.1177/crwa	sage:crwa	0091-5521	1940-2325		2008	Unique_Item_Requests	1	1	0
Community Health Equity Research & Policy	SAGE Publications		SAGE Journals	10.1177/qchb	sage:qchb	2752-535X	2752-5368		2022	Total_Item_Requests	1	1	0
Community Health Equity Research & Policy	SAGE Publications		SAGE Journals	10.1177/qchb	sage:qchb	2752-535X	2752-5368		2022	Unique_Item_Requests	1	1	0
Comparative Political Studies	SAGE Publications		SAGE Journals	10.1177/cpsa	sage:cpsa	0010-4140	1552-3829		2020	Total_Item_Requests	1	1	0
Comparative Political Studies	SAGE Publications		SAGE Journals	10.1177/cpsa	sage:cpsa	0010-4140	1552-3829		2020	Unique_Item_Requests	1	1	0
